driver_program,0,10477.189805269241,/home/users/vhayots/spark-1572119601-isilon_1it_96cpus_20bb-1,allfiles
increment_data,8336.299236536026,8337.22562623024,bigbrain_4620_2416_2085.nii,405600
save_incremented,8352.854045629501,8795.268553972244,bigbrain_4620_2416_2085.nii,405600
load_img,3119.658276081085,3121.133585214615,bigbrain_0_3020_695.nii,405635
increment_data,3540.899645805359,3542.706757068634,bigbrain_0_3020_695.nii,405635
save_incremented,3563.861528158188,3889.244029045105,bigbrain_0_3020_695.nii,405635
load_img,6110.692845582962,6111.1206476688385,bigbrain_1540_4228_4865.nii,405348
increment_data,6132.923797130585,6136.594675540924,bigbrain_1540_4228_4865.nii,405348
save_incremented,6203.345789909363,6545.383935689926,bigbrain_1540_4228_4865.nii,405348
load_img,3119.53120803833,3120.999871492386,bigbrain_2310_1208_1390.nii,405388
increment_data,3403.8989045619965,3436.317888736725,bigbrain_2310_1208_1390.nii,405388
save_incremented,3540.9970614910126,3609.783558368683,bigbrain_2310_1208_1390.nii,405388
load_img,3119.5487875938416,3121.0372502803802,bigbrain_2310_5436_4865.nii,405594
increment_data,3399.7447381019592,3437.41495013237,bigbrain_2310_5436_4865.nii,405594
save_incremented,3541.0169911384583,3612.474330663681,bigbrain_2310_5436_4865.nii,405594
load_img,3970.165679216385,3971.3994336128235,bigbrain_5390_3020_2780.nii,405289
increment_data,3971.4237172603607,3976.896012544632,bigbrain_5390_3020_2780.nii,405289
save_incremented,4092.6387672424316,4316.288169145584,bigbrain_5390_3020_2780.nii,405289
load_img,517.7435667514801,518.5244634151459,bigbrain_770_0_1390.nii,405265
increment_data,532.1082229614258,539.1838207244873,bigbrain_770_0_1390.nii,405265
save_incremented,605.331503868103,939.3723614215851,bigbrain_770_0_1390.nii,405265
load_img,5852.853934288025,5853.292591571808,bigbrain_2310_4228_2780.nii,405654
increment_data,5929.585907697678,5931.013241529465,bigbrain_2310_4228_2780.nii,405654
save_incremented,6054.218747615814,6540.293076753616,bigbrain_2310_4228_2780.nii,405654
load_img,1644.377721786499,1646.070158958435,bigbrain_6930_1208_695.nii,405573
increment_data,1902.255312204361,1906.2548203468323,bigbrain_6930_1208_695.nii,405573
save_incremented,1998.8156020641327,2423.5002501010895,bigbrain_6930_1208_695.nii,405573
load_img,9397.969131231308,9398.95172905922,bigbrain_3080_2416_1390.nii,405298
increment_data,9590.538766145706,9593.870103597641,bigbrain_3080_2416_1390.nii,405298
save_incremented,9661.658650636673,9955.062802791595,bigbrain_3080_2416_1390.nii,405298
load_img,2596.1358325481415,2596.569215297699,bigbrain_3080_5436_2780.nii,405621
increment_data,2957.943659067154,2962.020862340927,bigbrain_3080_5436_2780.nii,405621
save_incremented,3115.475301027298,3522.938844203949,bigbrain_3080_5436_2780.nii,405621
load_img,2536.3646030426025,2536.9636738300323,bigbrain_3080_4228_4865.nii,405183
increment_data,2891.1573905944824,2892.3234646320343,bigbrain_3080_4228_4865.nii,405183
save_incremented,2958.226171731949,3105.738712787628,bigbrain_3080_4228_4865.nii,405183
load_img,6933.071933031082,6933.7215139865875,bigbrain_4620_1208_4170.nii,405654
increment_data,7032.6121509075165,7037.244418621063,bigbrain_4620_1208_4170.nii,405654
save_incremented,7074.394480705261,7651.0669894218445,bigbrain_4620_1208_4170.nii,405654
load_img,4096.246860265732,4098.861656427383,bigbrain_3850_1812_3475.nii,405672
increment_data,4302.585779905319,4305.064043521881,bigbrain_3850_1812_3475.nii,405672
save_incremented,4397.472197771072,4995.106974363327,bigbrain_3850_1812_3475.nii,405672
load_img,4827.14160323143,4829.296807765961,bigbrain_4620_604_5560.nii,405557
increment_data,5046.0720846652985,5048.32603263855,bigbrain_4620_604_5560.nii,405557
save_incremented,5133.024691104889,5790.958331346512,bigbrain_4620_604_5560.nii,405557
load_img,9394.846781253815,9395.488017559052,bigbrain_4620_2416_0.nii,405582
increment_data,9535.71982717514,9538.3804500103,bigbrain_4620_2416_0.nii,405582
save_incremented,9661.565134048462,9758.292208194733,bigbrain_4620_2416_0.nii,405582
load_img,9498.014560222626,9498.732887029648,bigbrain_5390_3020_695.nii,405579
increment_data,9661.496717691422,9663.5119972229,bigbrain_5390_3020_695.nii,405579
save_incremented,9752.34182548523,10239.713788032532,bigbrain_5390_3020_695.nii,405579
load_img,10064.649665355682,10065.06545829773,bigbrain_0_5436_2780.nii,405234
increment_data,10202.855490922928,10207.94000005722,bigbrain_0_5436_2780.nii,405234
save_incremented,10243.087349891663,10309.797676801682,bigbrain_0_5436_2780.nii,405234
load_img,2536.6741106510162,2537.1952624320984,bigbrain_3850_3020_2780.nii,405669
increment_data,2957.879784345627,2961.511229991913,bigbrain_3850_3020_2780.nii,405669
save_incremented,3048.57364654541,3448.3249654769897,bigbrain_3850_3020_2780.nii,405669
load_img,1644.4163250923157,1646.1325862407684,bigbrain_5390_3624_2085.nii,405557
increment_data,1923.2390041351318,1929.9987094402313,bigbrain_5390_3624_2085.nii,405557
save_incremented,1996.3497495651245,2147.29425406456,bigbrain_5390_3624_2085.nii,405557
load_img,1336.9582862854004,1337.5666325092316,bigbrain_3850_5436_4865.nii,405388
increment_data,1352.8169198036194,1356.3163995742798,bigbrain_3850_5436_4865.nii,405388
save_incremented,1402.0643150806427,1866.3322920799255,bigbrain_3850_5436_4865.nii,405388
load_img,6012.672417640686,6013.152167797089,bigbrain_5390_4228_3475.nii,405397
increment_data,6131.567057847977,6137.513726711273,bigbrain_5390_4228_3475.nii,405397
save_incremented,6244.2637004852295,6561.700530529022,bigbrain_5390_4228_3475.nii,405397
load_img,1644.865718126297,1646.3565123081207,bigbrain_6930_3020_0.nii,405654
increment_data,1969.3005502223969,1972.6607387065887,bigbrain_6930_3020_0.nii,405654
save_incremented,2205.7881832122803,2389.1446681022644,bigbrain_6930_3020_0.nii,405654
load_img,4826.742729663849,4829.29530787468,bigbrain_6930_4832_2085.nii,405579
increment_data,5048.063881397247,5051.368636131287,bigbrain_6930_4832_2085.nii,405579
save_incremented,5128.798907279968,5476.422983884811,bigbrain_6930_4832_2085.nii,405579
load_img,8874.769053459167,8875.833156108856,bigbrain_5390_4228_2780.nii,405576
increment_data,9005.212044239044,9008.129082202911,bigbrain_5390_4228_2780.nii,405576
save_incremented,9041.699307918549,9190.262513875961,bigbrain_5390_4228_2780.nii,405576
load_img,3943.9392895698547,3944.5690574645996,bigbrain_1540_3020_2085.nii,405432
increment_data,3971.2537717819214,3976.8969490528107,bigbrain_1540_3020_2085.nii,405432
save_incremented,4092.6398618221283,4318.375531196594,bigbrain_1540_3020_2085.nii,405432
load_img,5633.197100639343,5633.604430437088,bigbrain_0_604_4170.nii,405183
increment_data,5928.934074640274,5931.618536233902,bigbrain_0_604_4170.nii,405183
save_incremented,6053.649837970734,6557.190198659897,bigbrain_0_604_4170.nii,405183
load_img,2201.322498321533,2201.944387435913,bigbrain_5390_1812_4170.nii,405630
increment_data,2206.4528703689575,2209.8627099990845,bigbrain_5390_1812_4170.nii,405630
save_incremented,2428.5058538913727,2883.6451511383057,bigbrain_5390_1812_4170.nii,405630
load_img,9395.844656467438,9397.157203912735,bigbrain_770_3624_5560.nii,405624
increment_data,9535.7275557518,9540.349655628204,bigbrain_770_3624_5560.nii,405624
save_incremented,9661.580229759216,9755.172945737839,bigbrain_770_3624_5560.nii,405624
load_img,4774.20943570137,4774.661870479584,bigbrain_3080_3624_3475.nii,405322
increment_data,4979.061690092087,4982.2007625103,bigbrain_3080_3624_3475.nii,405322
save_incremented,5005.306659460068,5041.469413280487,bigbrain_3080_3624_3475.nii,405322
load_img,1637.648074388504,1641.1585688591003,bigbrain_2310_3624_2085.nii,405460
increment_data,1641.1770074367523,1644.0014281272888,bigbrain_2310_3624_2085.nii,405460
save_incremented,1798.3027753829956,1987.1128890514374,bigbrain_2310_3624_2085.nii,405460
load_img,5539.571945905685,5540.756509780884,bigbrain_6930_1208_4170.nii,405624
increment_data,5920.8669402599335,5922.118851661682,bigbrain_6930_1208_4170.nii,405624
save_incremented,6041.156623363495,6508.1605496406555,bigbrain_6930_1208_4170.nii,405624
load_img,892.6754868030548,893.0937416553497,bigbrain_770_5436_0.nii,405160
increment_data,972.2666757106781,974.7972640991211,bigbrain_770_5436_0.nii,405160
save_incremented,1055.5777580738068,1591.7436499595642,bigbrain_770_5436_0.nii,405160
load_img,6800.736563682556,6802.01814699173,bigbrain_2310_4832_3475.nii,405440
increment_data,7031.98756814003,7036.900511026382,bigbrain_2310_4832_3475.nii,405440
save_incremented,7065.591964006424,7128.2740886211395,bigbrain_2310_4832_3475.nii,405440
