driver_program,0,11231.786417484283,/home/users/vhayots/spark-1572497074-isilonAD_1it_25cpus_20bb-0,allfiles
increment_data,1694.5268414020538,1695.317785024643,bigbrain_2310_0_4170.nii,133820
save_incremented,1695.3213279247284,1785.3914756774902,bigbrain_2310_0_4170.nii,133820
load_img,10700.206218242645,10700.60278725624,bigbrain_5390_1812_6255.nii,133844
increment_data,10700.994484186172,10701.758486747742,bigbrain_5390_1812_6255.nii,133844
save_incremented,10701.761721372604,10782.518108129501,bigbrain_5390_1812_6255.nii,133844
load_img,3821.9911212921143,3822.374677658081,bigbrain_5390_5436_2780.nii,133835
increment_data,3860.4602155685425,3864.4701750278473,bigbrain_5390_5436_2780.nii,133835
save_incremented,3865.6314992904663,3942.773441553116,bigbrain_5390_5436_2780.nii,133835
load_img,6606.074520111084,6607.589990377426,bigbrain_1540_3020_1390.nii,133880
increment_data,6619.799657344818,6632.443325996399,bigbrain_1540_3020_1390.nii,133880
save_incremented,6647.519895553589,6742.549685239792,bigbrain_1540_3020_1390.nii,133880
load_img,5737.715240240097,5738.1073346138,bigbrain_1540_5436_3475.nii,133813
increment_data,5764.22052025795,5765.779500246048,bigbrain_1540_5436_3475.nii,133813
save_incremented,5784.2550621032715,5884.179044961929,bigbrain_1540_5436_3475.nii,133813
load_img,6522.511632680893,6523.026018619537,bigbrain_3080_604_2780.nii,133838
increment_data,6586.488773107529,6594.451516151428,bigbrain_3080_604_2780.nii,133838
save_incremented,6604.937715053558,6678.492965459824,bigbrain_3080_604_2780.nii,133838
load_img,9382.261263608932,9382.64872789383,bigbrain_1540_4832_6255.nii,133826
increment_data,9454.542209625244,9458.05892252922,bigbrain_1540_4832_6255.nii,133826
save_incremented,9459.640857458115,9510.714420080185,bigbrain_1540_4832_6255.nii,133826
load_img,1957.4991648197174,1957.8864934444427,bigbrain_770_4228_0.nii,133817
increment_data,1968.02059841156,1969.00941157341,bigbrain_770_4228_0.nii,133817
save_incremented,1974.693797826767,2064.5515451431274,bigbrain_770_4228_0.nii,133817
load_img,2492.8385605812073,2493.220544576645,bigbrain_1540_4832_2085.nii,133880
increment_data,2501.320256471634,2502.179890871048,bigbrain_1540_4832_2085.nii,133880
save_incremented,2537.020468235016,2658.5729401111603,bigbrain_1540_4832_2085.nii,133880
load_img,7154.530070543289,7155.656183481216,bigbrain_6160_2416_6255.nii,133847
increment_data,7160.003561496735,7163.39005112648,bigbrain_6160_2416_6255.nii,133847
save_incremented,7190.511744737625,7241.437866926193,bigbrain_6160_2416_6255.nii,133847
load_img,9159.112804174423,9161.031167268753,bigbrain_3080_604_1390.nii,133820
increment_data,9200.023245573044,9214.719199180603,bigbrain_3080_604_1390.nii,133820
save_incremented,9230.1571829319,9296.307666063309,bigbrain_3080_604_1390.nii,133820
load_img,1956.0365283489227,1956.4158322811127,bigbrain_1540_5436_4865.nii,133826
increment_data,1968.017199754715,1968.9046790599823,bigbrain_1540_5436_4865.nii,133826
save_incremented,1982.3295900821686,2089.7779042720795,bigbrain_1540_5436_4865.nii,133826
load_img,9984.868607282639,9985.259197950363,bigbrain_2310_1208_2085.nii,133862
increment_data,10060.610449075699,10069.440153360367,bigbrain_2310_1208_2085.nii,133862
save_incremented,10073.729553699493,10149.578614234924,bigbrain_2310_1208_2085.nii,133862
load_img,1678.4259374141693,1678.8137712478638,bigbrain_6930_1208_695.nii,133868
increment_data,1694.5519092082977,1695.3830606937408,bigbrain_6930_1208_695.nii,133868
save_incremented,1727.2224156856537,1859.399508714676,bigbrain_6930_1208_695.nii,133868
load_img,10694.140790224075,10694.857486724854,bigbrain_2310_604_3475.nii,133853
