driver_program,0,323.3662271499634,/pmem1-data/val/spark-1570844393-optaneAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,5.77611780166626,5.782842636108398,bigbrain_0_3624_695.nii,141421
increment_data,5.784005403518677,14.321295499801636,bigbrain_0_3624_695.nii,141421
save_incremented,14.32178258895874,18.434963941574097,bigbrain_0_3624_695.nii,141421
load_img,5.778006076812744,5.784025192260742,bigbrain_0_2416_2780.nii,141401
increment_data,5.785855770111084,14.226980447769165,bigbrain_0_2416_2780.nii,141401
save_incremented,14.227371215820312,27.31872272491455,bigbrain_0_2416_2780.nii,141401
load_img,5.780731916427612,5.787300109863281,bigbrain_0_3020_4865.nii,141427
increment_data,5.789723634719849,13.833630323410034,bigbrain_0_3020_4865.nii,141427
save_incremented,13.835628271102905,17.175108432769775,bigbrain_0_3020_4865.nii,141427
load_img,5.775649547576904,5.786984920501709,bigbrain_0_4228_6255.nii,141418
increment_data,5.79109525680542,14.10608434677124,bigbrain_0_4228_6255.nii,141418
save_incremented,14.106581211090088,28.22339940071106,bigbrain_0_4228_6255.nii,141418
load_img,5.785775184631348,5.788459300994873,bigbrain_0_4228_6255.nii,141434
increment_data,5.790069103240967,13.576989889144897,bigbrain_0_4228_6255.nii,141434
save_incremented,13.578647136688232,23.046478509902954,bigbrain_0_4228_6255.nii,141434
load_img,5.782347679138184,5.788570880889893,bigbrain_0_4228_4865.nii,141439
increment_data,5.791476011276245,14.181765794754028,bigbrain_0_4228_4865.nii,141439
save_incremented,14.182128429412842,28.867518424987793,bigbrain_0_4228_4865.nii,141439
load_img,5.785113334655762,5.7907795906066895,bigbrain_0_2416_4865.nii,141461
increment_data,5.792597532272339,14.119730710983276,bigbrain_0_2416_4865.nii,141461
save_incremented,14.120005130767822,29.19342589378357,bigbrain_0_2416_4865.nii,141461
load_img,5.788889169692993,5.791778326034546,bigbrain_0_4228_6255.nii,141443
increment_data,5.793303489685059,13.576985836029053,bigbrain_0_4228_6255.nii,141443
save_incremented,13.578648567199707,28.3210871219635,bigbrain_0_4228_6255.nii,141443
load_img,5.784442663192749,5.791766881942749,bigbrain_0_3020_2780.nii,141410
increment_data,5.795107126235962,14.036402940750122,bigbrain_0_3020_2780.nii,141410
save_incremented,14.037121295928955,30.259366035461426,bigbrain_0_3020_2780.nii,141410
load_img,5.7903594970703125,5.794997215270996,bigbrain_0_3020_2780.nii,141453
increment_data,5.796365261077881,14.03557538986206,bigbrain_0_3020_2780.nii,141453
save_incremented,14.036041021347046,31.84446907043457,bigbrain_0_3020_2780.nii,141453
load_img,5.78895378112793,5.7983009815216064,bigbrain_0_3624_695.nii,141448
increment_data,5.801349401473999,14.321065425872803,bigbrain_0_3624_695.nii,141448
save_incremented,14.321471929550171,17.19015598297119,bigbrain_0_3624_695.nii,141448
load_img,5.7966837882995605,5.805967569351196,bigbrain_0_2416_4865.nii,141457
increment_data,5.808132886886597,14.179693937301636,bigbrain_0_2416_4865.nii,141457
save_incremented,14.179951667785645,30.684610605239868,bigbrain_0_2416_4865.nii,141457
load_img,16.283339738845825,16.285176038742065,bigbrain_0_4228_695.nii,141384
increment_data,16.285764694213867,18.812316417694092,bigbrain_0_4228_695.nii,141384
save_incremented,18.814838409423828,32.6847505569458,bigbrain_0_4228_695.nii,141384
load_img,17.1784930229187,17.181248426437378,bigbrain_0_1208_4865.nii,141427
increment_data,17.182371377944946,20.850303411483765,bigbrain_0_1208_4865.nii,141427
save_incremented,20.85111117362976,32.88350009918213,bigbrain_0_1208_4865.nii,141427
load_img,17.212347984313965,17.217340230941772,bigbrain_0_4228_695.nii,141448
increment_data,17.218955516815186,21.887532472610474,bigbrain_0_4228_695.nii,141448
save_incremented,21.889849424362183,33.09061360359192,bigbrain_0_4228_695.nii,141448
load_img,18.45235824584961,18.45851421356201,bigbrain_0_4228_695.nii,141421
increment_data,18.459882020950317,22.375555276870728,bigbrain_0_4228_695.nii,141421
save_incremented,22.377277135849,32.48210120201111,bigbrain_0_4228_695.nii,141421
load_img,18.677123069763184,18.679755210876465,bigbrain_0_1812_4170.nii,141375
increment_data,18.68066906929016,24.335270643234253,bigbrain_0_1812_4170.nii,141375
save_incremented,24.33638095855713,35.99761199951172,bigbrain_0_1812_4170.nii,141375
load_img,18.96561288833618,18.972099542617798,bigbrain_0_1208_4865.nii,141396
increment_data,18.973191499710083,25.62120795249939,bigbrain_0_1208_4865.nii,141396
save_incremented,25.624598264694214,34.42230749130249,bigbrain_0_1208_4865.nii,141396
