driver_program,0,10866.2325527668,/home/users/vhayots/spark-1570479884-isilonAD_1it_25cpus_120delay_withpc-0,allfiles
save_incremented,2659.2754530906677,2778.5255274772644,bigbrain_770_3020_2780.nii,79238
load_img,6444.173230886459,6445.206482887268,bigbrain_0_604_4170.nii,79253
increment_data,6477.356745004654,6479.600329875946,bigbrain_0_604_4170.nii,79253
save_incremented,6498.0367777347565,6576.883603811264,bigbrain_0_604_4170.nii,79253
load_img,4290.789534330368,4291.232361793518,bigbrain_5390_0_2780.nii,79217
increment_data,4331.8820650577545,4340.0263235569,bigbrain_5390_0_2780.nii,79217
save_incremented,4357.026733875275,4433.973278284073,bigbrain_5390_0_2780.nii,79217
load_img,4829.829257726669,4830.353858709335,bigbrain_0_0_4170.nii,79232
increment_data,4898.69455075264,4901.843603372574,bigbrain_0_0_4170.nii,79232
save_incremented,4902.004030227661,4958.293401002884,bigbrain_0_0_4170.nii,79232
load_img,683.9064054489136,684.291003704071,bigbrain_3850_1208_1390.nii,79244
increment_data,695.3920166492462,696.3172564506531,bigbrain_3850_1208_1390.nii,79244
save_incremented,728.6679208278656,849.0886950492859,bigbrain_3850_1208_1390.nii,79244
load_img,4626.24090886116,4626.675942659378,bigbrain_770_3624_0.nii,79250
increment_data,4628.731955289841,4629.763635396957,bigbrain_770_3624_0.nii,79250
save_incremented,4634.811030626297,4743.706692934036,bigbrain_770_3624_0.nii,79250
load_img,971.0273561477661,971.425999879837,bigbrain_6160_604_1390.nii,79262
increment_data,984.3135924339294,989.5995659828186,bigbrain_6160_604_1390.nii,79262
save_incremented,1006.0406119823456,1116.9983475208282,bigbrain_6160_604_1390.nii,79262
load_img,7686.670268535614,7687.053696870804,bigbrain_6930_2416_6255.nii,79238
increment_data,7723.61961889267,7734.580880880356,bigbrain_6930_2416_6255.nii,79238
save_incremented,7771.737997293472,7813.412236452103,bigbrain_6930_2416_6255.nii,79238
load_img,145.1303369998932,145.67082810401917,bigbrain_6930_1812_695.nii,79244
increment_data,145.86663341522217,146.77031350135803,bigbrain_6930_1812_695.nii,79244
save_incremented,146.77381491661072,284.9376847743988,bigbrain_6930_1812_695.nii,79244
load_img,5445.910060405731,5446.518594026566,bigbrain_0_2416_2780.nii,79208
increment_data,5454.416331529617,5460.150596618652,bigbrain_0_2416_2780.nii,79208
save_incremented,5487.816695213318,5598.890344381332,bigbrain_0_2416_2780.nii,79208
load_img,424.3300783634186,424.7194812297821,bigbrain_5390_2416_695.nii,79262
increment_data,428.49567580223083,432.12030053138733,bigbrain_5390_2416_695.nii,79262
save_incremented,438.6947729587555,561.0347483158112,bigbrain_5390_2416_695.nii,79262
load_img,9466.704360723495,9467.362837791443,bigbrain_4620_5436_1390.nii,79235
increment_data,9469.415573596954,9470.90344786644,bigbrain_4620_5436_1390.nii,79235
save_incremented,9474.897423744202,9579.038068294525,bigbrain_4620_5436_1390.nii,79235
load_img,5104.8149037361145,5105.207738876343,bigbrain_0_5436_1390.nii,79247
increment_data,5146.2607753276825,5156.872549057007,bigbrain_0_5436_1390.nii,79247
save_incremented,5173.329564571381,5216.877443552017,bigbrain_0_5436_1390.nii,79247
load_img,2960.776100873947,2961.154116630554,bigbrain_1540_5436_695.nii,79259
increment_data,3003.3687036037445,3015.5887854099274,bigbrain_1540_5436_695.nii,79259
save_incremented,3046.0553340911865,3131.5528485774994,bigbrain_1540_5436_695.nii,79259
load_img,10554.744165182114,10555.650441884995,bigbrain_5390_4832_2085.nii,79259
increment_data,10603.424460411072,10610.489723682404,bigbrain_5390_4832_2085.nii,79259
save_incremented,10619.905951499939,10695.398229122162,bigbrain_5390_4832_2085.nii,79259
load_img,689.0591995716095,689.4543972015381,bigbrain_4620_3624_6255.nii,79262
increment_data,695.4043228626251,696.3022844791412,bigbrain_4620_3624_6255.nii,79262
save_incremented,724.7733647823334,845.3208301067352,bigbrain_4620_3624_6255.nii,79262
load_img,9395.60074687004,9395.99070596695,bigbrain_3850_1812_5560.nii,79226
increment_data,9448.692886352539,9460.51420712471,bigbrain_3850_1812_5560.nii,79226
save_incremented,9469.255508899689,9549.008414030075,bigbrain_3850_1812_5560.nii,79226
load_img,2286.6658897399902,2287.1308283805847,bigbrain_6160_3624_3475.nii,79268
increment_data,2309.877925634384,2323.284919977188,bigbrain_6160_3624_3475.nii,79268
save_incremented,2375.4477260112762,2456.794646501541,bigbrain_6160_3624_3475.nii,79268
load_img,5991.827854394913,5993.019770383835,bigbrain_5390_1812_5560.nii,79274
increment_data,6028.845356702805,6044.502511262894,bigbrain_5390_1812_5560.nii,79274
save_incremented,6058.981551647186,6152.176446914673,bigbrain_5390_1812_5560.nii,79274
load_img,8926.74487900734,8928.050750017166,bigbrain_3080_0_2780.nii,79259
increment_data,8976.963244438171,8985.899801969528,bigbrain_3080_0_2780.nii,79259
save_incremented,8994.575067281723,9059.516925811768,bigbrain_3080_0_2780.nii,79259
load_img,413.4191610813141,413.8052587509155,bigbrain_1540_3624_695.nii,79229
increment_data,422.6451413631439,423.6540172100067,bigbrain_1540_3624_695.nii,79229
save_incremented,426.16957235336304,497.1163511276245,bigbrain_1540_3624_695.nii,79229
load_img,3756.9658827781677,3757.355192422867,bigbrain_5390_5436_3475.nii,79217
increment_data,3812.3806533813477,3813.416484117508,bigbrain_5390_5436_3475.nii,79217
save_incremented,3819.472132921219,3906.7294397354126,bigbrain_5390_5436_3475.nii,79217
load_img,9921.00521993637,9921.564056873322,bigbrain_4620_2416_0.nii,79223
increment_data,9946.54729962349,9958.937974214554,bigbrain_4620_2416_0.nii,79223
save_incremented,10009.09815788269,10070.03824520111,bigbrain_4620_2416_0.nii,79223
load_img,7429.322240114212,7429.731737852097,bigbrain_4620_1208_4170.nii,79259
increment_data,7498.363162279129,7501.27966427803,bigbrain_4620_1208_4170.nii,79259
save_incremented,7505.779439210892,7553.8790872097015,bigbrain_4620_1208_4170.nii,79259
load_img,8921.263329982758,8922.016439676285,bigbrain_1540_4832_3475.nii,79268
increment_data,8925.525764226913,8927.901916503906,bigbrain_1540_4832_3475.nii,79268
save_incremented,8934.380366563797,9026.874285697937,bigbrain_1540_4832_3475.nii,79268
load_img,3214.0828092098236,3214.491518974304,bigbrain_770_5436_4865.nii,79229
increment_data,3248.5860979557037,3256.5673055648804,bigbrain_770_5436_4865.nii,79229
