driver_program,0,1046.9023263454437,/home/val/spark-1570915691-localAD_1it_96cpus_0delay_npc_em-1,allfiles
increment_data,13.324711322784424,22.32852530479431,bigbrain_0_4228_4865.nii,159377
save_incremented,22.328902006149292,48.40769028663635,bigbrain_0_4228_4865.nii,159377
load_img,13.381983995437622,13.38409686088562,bigbrain_0_2416_2780.nii,159394
increment_data,13.384702682495117,22.346675634384155,bigbrain_0_2416_2780.nii,159394
save_incremented,22.346870183944702,56.28245973587036,bigbrain_0_2416_2780.nii,159394
load_img,13.242161273956299,13.399439573287964,bigbrain_0_3020_2780.nii,159385
increment_data,13.400251388549805,22.928821325302124,bigbrain_0_3020_2780.nii,159385
save_incremented,22.929354667663574,25.593258142471313,bigbrain_0_3020_2780.nii,159385
load_img,13.187518835067749,13.399442911148071,bigbrain_0_3020_2780.nii,159369
increment_data,13.400308847427368,22.928298234939575,bigbrain_0_3020_2780.nii,159369
save_incremented,22.92896056175232,25.00709319114685,bigbrain_0_3020_2780.nii,159369
load_img,13.40965986251831,13.412542343139648,bigbrain_0_4228_4865.nii,159400
increment_data,13.41327166557312,22.327532529830933,bigbrain_0_4228_4865.nii,159400
save_incremented,22.327741146087646,48.779295444488525,bigbrain_0_4228_4865.nii,159400
load_img,13.436886548995972,13.439060688018799,bigbrain_0_3020_2780.nii,159405
increment_data,13.439693450927734,22.927490711212158,bigbrain_0_3020_2780.nii,159405
save_incremented,22.92802929878235,26.11231517791748,bigbrain_0_3020_2780.nii,159405
load_img,13.451760292053223,13.45348072052002,bigbrain_0_4228_6255.nii,159412
increment_data,13.453990459442139,22.91188955307007,bigbrain_0_4228_6255.nii,159412
save_incremented,22.91268754005432,26.907983779907227,bigbrain_0_4228_6255.nii,159412
load_img,13.470199823379517,13.473156213760376,bigbrain_0_4228_6255.nii,159425
increment_data,13.4739830493927,22.91109275817871,bigbrain_0_4228_6255.nii,159425
save_incremented,22.911656618118286,26.78210425376892,bigbrain_0_4228_6255.nii,159425
load_img,13.476710557937622,13.478599548339844,bigbrain_0_3020_2780.nii,159438
increment_data,13.479083776473999,22.92872643470764,bigbrain_0_3020_2780.nii,159438
save_incremented,22.9293315410614,80.3346757888794,bigbrain_0_3020_2780.nii,159438
load_img,13.49862813949585,13.500961542129517,bigbrain_0_3624_695.nii,159428
increment_data,13.501617193222046,22.821467638015747,bigbrain_0_3624_695.nii,159428
save_incremented,22.823768138885498,36.65650415420532,bigbrain_0_3624_695.nii,159428
load_img,13.532316207885742,13.534025430679321,bigbrain_0_4228_4865.nii,159432
increment_data,13.534536838531494,22.327823400497437,bigbrain_0_4228_4865.nii,159432
save_incremented,22.328179836273193,48.47580814361572,bigbrain_0_4228_4865.nii,159432
load_img,13.539886236190796,13.542857885360718,bigbrain_0_2416_4865.nii,159442
increment_data,13.543508529663086,22.54161787033081,bigbrain_0_2416_4865.nii,159442
save_incremented,22.542344570159912,25.67641282081604,bigbrain_0_2416_4865.nii,159442
load_img,13.543530702590942,13.545154333114624,bigbrain_0_2416_4865.nii,159449
increment_data,13.545624256134033,22.691356658935547,bigbrain_0_2416_4865.nii,159449
save_incremented,22.69167685508728,26.13288712501526,bigbrain_0_2416_4865.nii,159449
load_img,13.547104597091675,13.549825429916382,bigbrain_0_3624_695.nii,159421
increment_data,13.550583124160767,22.82244563102722,bigbrain_0_3624_695.nii,159421
save_incremented,22.823218822479248,77.18754506111145,bigbrain_0_3624_695.nii,159421
load_img,13.56235957145691,13.564594745635986,bigbrain_0_4228_6255.nii,159445
increment_data,13.565170049667358,22.908869743347168,bigbrain_0_4228_6255.nii,159445
save_incremented,22.909112453460693,66.82585883140564,bigbrain_0_4228_6255.nii,159445
