driver_program,0,59.04374051094055,/dev/shm/val/spark-1570930473-tmpfsAD_1it_25cpus_120delay_withpc_em-2,allfiles
load_img,54.809784173965454,54.81056094169617,bigbrain_0_3624_695.nii,164994
increment_data,54.8107008934021,55.2365665435791,bigbrain_0_3624_695.nii,164994
save_incremented,55.23667883872986,55.94266128540039,bigbrain_0_3624_695.nii,164994
load_img,54.809746980667114,54.8105583190918,bigbrain_0_3624_695.nii,164927
increment_data,54.81070303916931,55.23653268814087,bigbrain_0_3624_695.nii,164927
save_incremented,55.23667025566101,55.941145181655884,bigbrain_0_3624_695.nii,164927
load_img,54.809449672698975,54.81031060218811,bigbrain_0_3624_695.nii,164963
increment_data,54.8104784488678,55.23700928688049,bigbrain_0_3624_695.nii,164963
save_incremented,55.23711276054382,55.942851305007935,bigbrain_0_3624_695.nii,164963
load_img,54.540653705596924,54.541688203811646,bigbrain_0_1812_4865.nii,164982
increment_data,54.54186487197876,55.00874662399292,bigbrain_0_1812_4865.nii,164982
save_incremented,55.008880853652954,55.93648552894592,bigbrain_0_1812_4865.nii,164982
load_img,54.539915800094604,54.54102969169617,bigbrain_0_1812_4865.nii,164909
increment_data,54.5412323474884,55.008310079574585,bigbrain_0_1812_4865.nii,164909
save_incremented,55.00847864151001,55.945053815841675,bigbrain_0_1812_4865.nii,164909
load_img,54.539714336395264,54.54073357582092,bigbrain_0_1812_4865.nii,164936
increment_data,54.54093313217163,55.0083224773407,bigbrain_0_1812_4865.nii,164936
save_incremented,55.00846219062805,55.93351745605469,bigbrain_0_1812_4865.nii,164936
load_img,54.48152422904968,54.482314109802246,bigbrain_0_4228_6255.nii,164912
increment_data,54.48245406150818,54.94535827636719,bigbrain_0_4228_6255.nii,164912
save_incremented,54.945507764816284,55.68084096908569,bigbrain_0_4228_6255.nii,164912
load_img,54.48133611679077,54.482128858566284,bigbrain_0_4228_6255.nii,164904
increment_data,54.48227095603943,54.94535827636719,bigbrain_0_4228_6255.nii,164904
save_incremented,54.94550585746765,55.67706084251404,bigbrain_0_4228_6255.nii,164904
load_img,54.481154680252075,54.48204064369202,bigbrain_0_4228_6255.nii,164978
increment_data,54.48219895362854,54.945842266082764,bigbrain_0_4228_6255.nii,164978
save_incremented,54.94594717025757,55.67684459686279,bigbrain_0_4228_6255.nii,164978
load_img,54.42318058013916,54.424474239349365,bigbrain_0_3020_3475.nii,164947
increment_data,54.42471265792847,54.80340933799744,bigbrain_0_3020_3475.nii,164947
save_incremented,54.80355930328369,55.525742053985596,bigbrain_0_3020_3475.nii,164947
load_img,54.28431010246277,54.28522253036499,bigbrain_0_3020_3475.nii,164930
increment_data,54.285404443740845,54.65856337547302,bigbrain_0_3020_3475.nii,164930
save_incremented,54.65879034996033,55.53350353240967,bigbrain_0_3020_3475.nii,164930
load_img,54.05698871612549,54.05789852142334,bigbrain_0_3020_3475.nii,164987
increment_data,54.058066606521606,54.450857162475586,bigbrain_0_3020_3475.nii,164987
save_incremented,54.45101046562195,55.21366095542908,bigbrain_0_3020_3475.nii,164987
load_img,53.67741847038269,53.67841625213623,bigbrain_0_4228_695.nii,164963
increment_data,53.67861843109131,54.1104736328125,bigbrain_0_4228_695.nii,164963
save_incremented,54.11058211326599,54.80638337135315,bigbrain_0_4228_695.nii,164963
load_img,53.67766284942627,53.67844915390015,bigbrain_0_4228_695.nii,164994
increment_data,53.67861723899841,54.10995697975159,bigbrain_0_4228_695.nii,164994
save_incremented,54.110084772109985,54.80682182312012,bigbrain_0_4228_695.nii,164994
load_img,53.67763543128967,53.67845129966736,bigbrain_0_4228_695.nii,164927
increment_data,53.67861366271973,54.10994291305542,bigbrain_0_4228_695.nii,164927
save_incremented,54.110082387924194,54.80661416053772,bigbrain_0_4228_695.nii,164927
