driver_program,0,399.5680718421936,/pmem1-data/val/spark-1570926236-optaneAD_1it_96cpus_0delay_npc_em-2,allfiles
load_img,13.350046634674072,13.35274076461792,bigbrain_0_4228_4865.nii,162746
increment_data,13.353407621383667,21.54754114151001,bigbrain_0_4228_4865.nii,162746
save_incremented,21.547963619232178,80.65695643424988,bigbrain_0_4228_4865.nii,162746
load_img,13.355860233306885,13.357831478118896,bigbrain_0_2416_2780.nii,162740
increment_data,13.35839319229126,21.58961319923401,bigbrain_0_2416_2780.nii,162740
save_incremented,21.590062141418457,88.94467329978943,bigbrain_0_2416_2780.nii,162740
load_img,13.35792589187622,13.35957956314087,bigbrain_0_2416_2780.nii,162735
increment_data,13.360174417495728,21.60374641418457,bigbrain_0_2416_2780.nii,162735
save_incremented,21.60406494140625,50.28155303001404,bigbrain_0_2416_2780.nii,162735
load_img,13.370288848876953,13.37242841720581,bigbrain_0_2416_2780.nii,162796
increment_data,13.373255729675293,21.490946531295776,bigbrain_0_2416_2780.nii,162796
save_incremented,21.49160099029541,86.71856141090393,bigbrain_0_2416_2780.nii,162796
load_img,13.373409271240234,13.375677585601807,bigbrain_0_2416_4865.nii,162729
increment_data,13.376453399658203,21.593379974365234,bigbrain_0_2416_4865.nii,162729
save_incremented,21.594108819961548,75.40258693695068,bigbrain_0_2416_4865.nii,162729
load_img,13.377140998840332,13.379496812820435,bigbrain_0_3020_2780.nii,162773
increment_data,13.380248069763184,21.466036796569824,bigbrain_0_3020_2780.nii,162773
save_incremented,21.466963291168213,95.04889249801636,bigbrain_0_3020_2780.nii,162773
load_img,13.377983331680298,13.380223751068115,bigbrain_0_2416_4865.nii,162787
increment_data,13.380812168121338,21.57348942756653,bigbrain_0_2416_4865.nii,162787
save_incremented,21.57401180267334,87.15044093132019,bigbrain_0_2416_4865.nii,162787
load_img,13.38698124885559,13.388772249221802,bigbrain_0_4228_6255.nii,162824
increment_data,13.389487743377686,21.53426218032837,bigbrain_0_4228_6255.nii,162824
save_incremented,21.534902334213257,84.18179082870483,bigbrain_0_4228_6255.nii,162824
load_img,13.398963451385498,13.401174068450928,bigbrain_0_2416_2780.nii,162839
increment_data,13.401832580566406,21.605980157852173,bigbrain_0_2416_2780.nii,162839
save_incremented,21.6065890789032,91.15503358840942,bigbrain_0_2416_2780.nii,162839
load_img,13.408121585845947,13.410054922103882,bigbrain_0_3624_695.nii,162819
increment_data,13.41089916229248,21.605587482452393,bigbrain_0_3624_695.nii,162819
save_incremented,21.60597515106201,76.35567617416382,bigbrain_0_3624_695.nii,162819
load_img,13.423061847686768,13.424892663955688,bigbrain_0_3020_4865.nii,162783
increment_data,13.42554783821106,21.552446842193604,bigbrain_0_3020_4865.nii,162783
save_incremented,21.55292820930481,94.99585461616516,bigbrain_0_3020_4865.nii,162783
load_img,13.430505990982056,13.432296991348267,bigbrain_0_2416_4865.nii,162834
increment_data,13.432937383651733,21.638341188430786,bigbrain_0_2416_4865.nii,162834
save_incremented,21.63916277885437,43.86777305603027,bigbrain_0_2416_4865.nii,162834
load_img,13.437808752059937,13.43998384475708,bigbrain_0_4228_6255.nii,162867
increment_data,13.440658569335938,21.586275815963745,bigbrain_0_4228_6255.nii,162867
save_incremented,21.586711883544922,53.68587613105774,bigbrain_0_4228_6255.nii,162867
load_img,13.446557760238647,13.448514938354492,bigbrain_0_4228_6255.nii,162829
increment_data,13.449225664138794,21.614832639694214,bigbrain_0_4228_6255.nii,162829
save_incremented,21.61540198326111,70.80206036567688,bigbrain_0_4228_6255.nii,162829
load_img,13.455720901489258,13.457626342773438,bigbrain_0_3020_2780.nii,162791
increment_data,13.458403587341309,21.538061380386353,bigbrain_0_3020_2780.nii,162791
save_incremented,21.540667057037354,87.065589427948,bigbrain_0_3020_2780.nii,162791
load_img,13.456512212753296,13.458393573760986,bigbrain_0_4228_4865.nii,162805
increment_data,13.458893775939941,21.61571216583252,bigbrain_0_4228_4865.nii,162805
save_incremented,21.616116046905518,75.0367214679718,bigbrain_0_4228_4865.nii,162805
load_img,13.460538387298584,13.4625563621521,bigbrain_0_2416_2780.nii,162958
increment_data,13.463212490081787,21.553893089294434,bigbrain_0_2416_2780.nii,162958
save_incremented,21.554358959197998,68.85424518585205,bigbrain_0_2416_2780.nii,162958
load_img,13.469160556793213,13.471298456192017,bigbrain_0_4228_4865.nii,162876
increment_data,13.471930027008057,21.617281436920166,bigbrain_0_4228_4865.nii,162876
