driver_program,0,5147.088403940201,/home/users/vhayots/spark-1570901293-isilonAD_1it_25cpus_120delay_withpc_em-0,allfiles
load_img,1415.1570088863373,1445.3679430484772,bigbrain_0_3020_6255.nii,153090
increment_data,1448.9842092990875,1451.4563076496124,bigbrain_0_3020_6255.nii,153090
save_incremented,1453.6407432556152,1502.3861594200134,bigbrain_0_3020_6255.nii,153090
load_img,679.559427022934,687.8361213207245,bigbrain_0_0_4865.nii,153072
increment_data,700.2874302864075,734.6827306747437,bigbrain_0_0_4865.nii,153072
save_incremented,738.9815020561218,777.9085500240326,bigbrain_0_0_4865.nii,153072
load_img,4448.917194604874,4494.306897878647,bigbrain_0_0_2085.nii,153093
increment_data,4509.760579824448,4519.423039197922,bigbrain_0_0_2085.nii,153093
save_incremented,4536.934659719467,4587.2096881866455,bigbrain_0_0_2085.nii,153093
load_img,4711.566534996033,4727.582279443741,bigbrain_0_3020_4170.nii,153087
increment_data,4762.019393920898,4769.314769268036,bigbrain_0_3020_4170.nii,153087
save_incremented,4775.707959890366,4816.082924604416,bigbrain_0_3020_4170.nii,153087
load_img,4772.181736946106,4783.243827342987,bigbrain_0_1812_695.nii,153135
increment_data,4820.493968009949,4833.231298685074,bigbrain_0_1812_695.nii,153135
save_incremented,4843.0510675907135,4885.542915344238,bigbrain_0_1812_695.nii,153135
load_img,1413.7667632102966,1413.7710392475128,bigbrain_0_4228_1390.nii,153102
increment_data,1443.3962635993958,1450.4067869186401,bigbrain_0_4228_1390.nii,153102
save_incremented,1467.0906195640564,1555.4196155071259,bigbrain_0_4228_1390.nii,153102
load_img,461.06368803977966,468.9055104255676,bigbrain_0_0_3475.nii,153087
increment_data,483.6396152973175,521.8997709751129,bigbrain_0_0_3475.nii,153087
save_incremented,525.0997800827026,563.6356806755066,bigbrain_0_0_3475.nii,153087
load_img,2113.6957194805145,2148.7421090602875,bigbrain_0_3624_3475.nii,153147
increment_data,2168.1176698207855,2178.591233730316,bigbrain_0_3624_3475.nii,153147
save_incremented,2199.004033088684,2259.1713705062866,bigbrain_0_3624_3475.nii,153147
load_img,2685.186429977417,2736.4432871341705,bigbrain_0_1208_2780.nii,153139
increment_data,2751.041074514389,2756.536339044571,bigbrain_0_1208_2780.nii,153139
save_incremented,2766.5186665058136,2812.7859432697296,bigbrain_0_1208_2780.nii,153139
load_img,1730.5061745643616,1755.0430126190186,bigbrain_0_3020_695.nii,153105
increment_data,1765.0374176502228,1773.7807672023773,bigbrain_0_3020_695.nii,153105
save_incremented,1782.907458782196,1844.8587954044342,bigbrain_0_3020_695.nii,153105
load_img,4346.215336322784,4399.6090087890625,bigbrain_0_1208_5560.nii,153119
