driver_program,0,222.9835593700409,/dev/shm/val/spark-1571385430-tmpfs_1it_96cpus_0delay_npc-0,allfiles
save_incremented,210.21185159683228,211.01522541046143,bigbrain_6930_3624_6255.nii,134070
load_img,207.31796550750732,207.3204083442688,bigbrain_6160_3624_695.nii,134085
increment_data,207.3213837146759,209.92080521583557,bigbrain_6160_3624_695.nii,134085
save_incremented,209.9210913181305,210.6398389339447,bigbrain_6160_3624_695.nii,134085
load_img,206.75580167770386,206.7608151435852,bigbrain_5390_0_5560.nii,134452
increment_data,206.76202058792114,210.43412590026855,bigbrain_5390_0_5560.nii,134452
save_incremented,210.4346776008606,211.53798460960388,bigbrain_5390_0_5560.nii,134452
load_img,206.2978789806366,206.31098651885986,bigbrain_3850_1208_2085.nii,134167
increment_data,206.31511425971985,208.8347623348236,bigbrain_3850_1208_2085.nii,134167
save_incremented,208.83544635772705,209.5142879486084,bigbrain_3850_1208_2085.nii,134167
load_img,206.13662695884705,206.16352486610413,bigbrain_1540_2416_0.nii,134053
increment_data,206.166029214859,208.74232149124146,bigbrain_1540_2416_0.nii,134053
save_incremented,208.74290776252747,209.4227147102356,bigbrain_1540_2416_0.nii,134053
load_img,206.1021785736084,206.10986757278442,bigbrain_770_5436_695.nii,134146
increment_data,206.11155557632446,210.406001329422,bigbrain_770_5436_695.nii,134146
save_incremented,210.4062111377716,211.74387192726135,bigbrain_770_5436_695.nii,134146
load_img,206.0629267692566,206.06470251083374,bigbrain_0_1208_1390.nii,134295
increment_data,206.06529712677002,208.67671704292297,bigbrain_0_1208_1390.nii,134295
save_incremented,208.6771981716156,209.36281752586365,bigbrain_0_1208_1390.nii,134295
load_img,205.94769859313965,205.9528443813324,bigbrain_5390_2416_6255.nii,134254
increment_data,205.95411229133606,208.51380801200867,bigbrain_5390_2416_6255.nii,134254
save_incremented,208.51659965515137,209.2577657699585,bigbrain_5390_2416_6255.nii,134254
load_img,205.91059517860413,205.91648125648499,bigbrain_0_1812_0.nii,134330
increment_data,205.91755485534668,210.32920837402344,bigbrain_0_1812_0.nii,134330
save_incremented,210.3294267654419,211.61622071266174,bigbrain_0_1812_0.nii,134330
load_img,205.7519609928131,205.75822949409485,bigbrain_770_4228_5560.nii,134313
increment_data,205.75903749465942,210.2330310344696,bigbrain_770_4228_5560.nii,134313
save_incremented,210.23331308364868,211.54726648330688,bigbrain_770_4228_5560.nii,134313
load_img,205.69193053245544,205.6966576576233,bigbrain_1540_0_5560.nii,134429
increment_data,205.697194814682,210.19822192192078,bigbrain_1540_0_5560.nii,134429
save_incremented,210.1984577178955,211.49776196479797,bigbrain_1540_0_5560.nii,134429
load_img,205.65699219703674,205.66258764266968,bigbrain_0_1812_695.nii,134392
increment_data,205.6635115146637,208.0203502178192,bigbrain_0_1812_695.nii,134392
save_incremented,208.0239450931549,208.6961259841919,bigbrain_0_1812_695.nii,134392
load_img,205.38408255577087,205.38912200927734,bigbrain_2310_1208_695.nii,134205
increment_data,205.38990354537964,209.72726225852966,bigbrain_2310_1208_695.nii,134205
save_incremented,209.72783994674683,211.33230423927307,bigbrain_2310_1208_695.nii,134205
load_img,205.30888843536377,205.31190705299377,bigbrain_6160_4228_6255.nii,134373
increment_data,205.31245374679565,209.44753527641296,bigbrain_6160_4228_6255.nii,134373
save_incremented,209.44860887527466,211.29929089546204,bigbrain_6160_4228_6255.nii,134373
load_img,205.30847787857056,205.31190729141235,bigbrain_6930_5436_695.nii,134217
increment_data,205.3124656677246,209.5007770061493,bigbrain_6930_5436_695.nii,134217
save_incremented,209.50294971466064,211.25318884849548,bigbrain_6930_5436_695.nii,134217
load_img,205.23886823654175,205.24320030212402,bigbrain_1540_4832_6255.nii,134424
increment_data,205.24413394927979,208.52312541007996,bigbrain_1540_4832_6255.nii,134424
save_incremented,208.52429032325745,211.09753131866455,bigbrain_1540_4832_6255.nii,134424
load_img,205.217271566391,205.22129702568054,bigbrain_6930_0_4170.nii,134320
increment_data,205.22207498550415,209.24824333190918,bigbrain_6930_0_4170.nii,134320
save_incremented,209.24969053268433,211.2718997001648,bigbrain_6930_0_4170.nii,134320
load_img,204.91071724891663,204.9184799194336,bigbrain_770_3624_4170.nii,134317
increment_data,204.92044830322266,207.18329906463623,bigbrain_770_3624_4170.nii,134317
save_incremented,207.18759775161743,207.8439004421234,bigbrain_770_3624_4170.nii,134317
load_img,204.78807258605957,204.8069429397583,bigbrain_3080_1208_695.nii,134153
increment_data,204.8138291835785,208.70281624794006,bigbrain_3080_1208_695.nii,134153
save_incremented,208.7037889957428,211.1659541130066,bigbrain_3080_1208_695.nii,134153
load_img,204.60072016716003,204.6028151512146,bigbrain_0_2416_2780.nii,134172
increment_data,204.60347080230713,206.88404440879822,bigbrain_0_2416_2780.nii,134172
save_incremented,206.8843994140625,207.66019535064697,bigbrain_0_2416_2780.nii,134172
load_img,204.47814965248108,204.47960710525513,bigbrain_6160_1812_4170.nii,134070
increment_data,204.4800159931183,206.79016375541687,bigbrain_6160_1812_4170.nii,134070
save_incremented,206.79045367240906,207.57093858718872,bigbrain_6160_1812_4170.nii,134070
load_img,204.47019720077515,204.4785692691803,bigbrain_0_0_4865.nii,134100
increment_data,204.47958135604858,208.46648955345154,bigbrain_0_0_4865.nii,134100
