driver_program,0,4004.1860167980194,/home/users/vhayots/spark-1570906468-isilonAD_1it_96cpus_0delay_npc_em-1,allfiles
save_incremented,3928.2320845127106,3950.958342552185,bigbrain_0_3020_5560.nii,154045
load_img,3173.3589322566986,3173.5923449993134,bigbrain_0_2416_3475.nii,154188
increment_data,3250.6408319473267,3254.7593851089478,bigbrain_0_2416_3475.nii,154188
save_incremented,3360.881415605545,3439.7604641914368,bigbrain_0_2416_3475.nii,154188
load_img,288.8876996040344,289.905709028244,bigbrain_0_1208_4865.nii,154298
increment_data,375.9623031616211,376.9864556789398,bigbrain_0_1208_4865.nii,154298
save_incremented,457.2556080818176,491.2553207874298,bigbrain_0_1208_4865.nii,154298
load_img,1426.4568364620209,1426.8806190490723,bigbrain_0_1208_6255.nii,154298
increment_data,1554.370370388031,1556.315215587616,bigbrain_0_1208_6255.nii,154298
save_incremented,1666.1864314079285,1715.7692992687225,bigbrain_0_1208_6255.nii,154298
load_img,54.09580135345459,63.501715660095215,bigbrain_0_4228_6255.nii,154083
increment_data,100.6227536201477,102.23563528060913,bigbrain_0_4228_6255.nii,154083
save_incremented,145.84283828735352,221.81202960014343,bigbrain_0_4228_6255.nii,154083
load_img,2730.2851548194885,2730.290233850479,bigbrain_0_1208_1390.nii,154379
increment_data,2828.1984810829163,2830.0006053447723,bigbrain_0_1208_1390.nii,154379
save_incremented,2903.851152420044,2962.017582178116,bigbrain_0_1208_1390.nii,154379
load_img,1529.703155040741,1530.346075296402,bigbrain_0_1208_2085.nii,154169
increment_data,1651.9644520282745,1654.1222229003906,bigbrain_0_1208_2085.nii,154169
save_incremented,1720.9319667816162,1798.827472448349,bigbrain_0_1208_2085.nii,154169
load_img,1637.3726315498352,1637.3773713111877,bigbrain_0_2416_0.nii,154293
increment_data,1705.8981590270996,1707.981688261032,bigbrain_0_2416_0.nii,154293
save_incremented,1809.7418665885925,1863.3088250160217,bigbrain_0_2416_0.nii,154293
load_img,3297.7670361995697,3297.769417285919,bigbrain_0_1812_1390.nii,154026
increment_data,3410.939860343933,3415.8859531879425,bigbrain_0_1812_1390.nii,154026
save_incremented,3512.9225289821625,3658.639198064804,bigbrain_0_1812_1390.nii,154026
load_img,2065.4302411079407,2067.6649684906006,bigbrain_0_2416_1390.nii,154035
