driver_program,0,74.75419235229492,/dev/shm/val/spark-1570987091-tmpfs_1it_96cpus_0delay_npc_em-0,allfiles
save_incremented,65.34476685523987,66.02011752128601,bigbrain_0_3020_2780.nii,118914
load_img,64.68223142623901,64.68363833427429,bigbrain_0_4228_4865.nii,118971
increment_data,64.68393421173096,65.20598912239075,bigbrain_0_4228_4865.nii,118971
save_incremented,65.20616436004639,66.44874501228333,bigbrain_0_4228_4865.nii,118971
load_img,64.60569381713867,64.60750031471252,bigbrain_0_1208_2780.nii,118964
increment_data,64.60783624649048,65.10091185569763,bigbrain_0_1208_2780.nii,118964
save_incremented,65.1011254787445,67.06191349029541,bigbrain_0_1208_2780.nii,118964
load_img,64.48997402191162,64.49177122116089,bigbrain_0_4228_4865.nii,118708
increment_data,64.49207472801208,65.06715989112854,bigbrain_0_4228_4865.nii,118708
save_incremented,65.0673291683197,66.55648756027222,bigbrain_0_4228_4865.nii,118708
load_img,64.43547105789185,64.43740057945251,bigbrain_0_1208_2780.nii,118865
increment_data,64.43770575523376,64.94315791130066,bigbrain_0_1208_2780.nii,118865
save_incremented,64.94333410263062,66.48388147354126,bigbrain_0_1208_2780.nii,118865
load_img,64.42523169517517,64.42720174789429,bigbrain_0_1208_2780.nii,118685
increment_data,64.42751860618591,64.92698574066162,bigbrain_0_1208_2780.nii,118685
save_incremented,64.92718982696533,66.89663791656494,bigbrain_0_1208_2780.nii,118685
load_img,64.24627995491028,64.24877762794495,bigbrain_0_4228_2780.nii,118887
increment_data,64.24924445152283,64.8512716293335,bigbrain_0_4228_2780.nii,118887
save_incremented,64.85146021842957,65.56920504570007,bigbrain_0_4228_2780.nii,118887
load_img,64.07353663444519,64.07513570785522,bigbrain_0_1208_2780.nii,118742
increment_data,64.07549595832825,64.71196341514587,bigbrain_0_1208_2780.nii,118742
save_incremented,64.71215796470642,66.22708249092102,bigbrain_0_1208_2780.nii,118742
load_img,64.05628299713135,64.05782079696655,bigbrain_0_0_1390.nii,118736
increment_data,64.05813026428223,64.74216270446777,bigbrain_0_0_1390.nii,118736
save_incremented,64.74292707443237,65.44002223014832,bigbrain_0_0_1390.nii,118736
load_img,63.94521617889404,63.94682335853577,bigbrain_0_4228_6255.nii,119005
increment_data,63.947144985198975,64.61628246307373,bigbrain_0_4228_6255.nii,119005
save_incremented,64.61655163764954,66.33077144622803,bigbrain_0_4228_6255.nii,119005
load_img,63.92277789115906,63.924890995025635,bigbrain_0_4228_6255.nii,118855
increment_data,63.92529010772705,64.59204506874084,bigbrain_0_4228_6255.nii,118855
save_incremented,64.59229326248169,65.9983913898468,bigbrain_0_4228_6255.nii,118855
load_img,63.872474908828735,63.87421894073486,bigbrain_0_4228_6255.nii,118893
increment_data,63.87456512451172,64.55952286720276,bigbrain_0_4228_6255.nii,118893
save_incremented,64.55971622467041,65.99520254135132,bigbrain_0_4228_6255.nii,118893
load_img,63.819852113723755,63.82115697860718,bigbrain_0_3020_2780.nii,118860
increment_data,63.821470737457275,64.43286991119385,bigbrain_0_3020_2780.nii,118860
save_incremented,64.43300461769104,65.17264199256897,bigbrain_0_3020_2780.nii,118860
load_img,63.790696144104004,63.79204297065735,bigbrain_0_1208_2780.nii,118959
increment_data,63.79234862327576,64.46909403800964,bigbrain_0_1208_2780.nii,118959
save_incremented,64.46928524971008,66.0409083366394,bigbrain_0_1208_2780.nii,118959
load_img,63.757076025009155,63.758540868759155,bigbrain_0_3624_695.nii,118671
increment_data,63.7588255405426,64.44106578826904,bigbrain_0_3624_695.nii,118671
save_incremented,64.44139170646667,65.95393919944763,bigbrain_0_3624_695.nii,118671
load_img,63.73328423500061,63.734774112701416,bigbrain_0_4228_6255.nii,119013
increment_data,63.7351279258728,64.3309576511383,bigbrain_0_4228_6255.nii,119013
save_incremented,64.33113932609558,65.61698246002197,bigbrain_0_4228_6255.nii,119013
load_img,63.67936038970947,63.6806960105896,bigbrain_0_3624_695.nii,118725
increment_data,63.6810028553009,64.27690052986145,bigbrain_0_3624_695.nii,118725
