driver_program,0,3792.2714579105377,/home/users/vhayots/spark-1570922414-isilonAD_1it_96cpus_0delay_npc_em-2,allfiles
increment_data,461.26959776878357,461.9126856327057,bigbrain_0_4228_695.nii,161632
save_incremented,537.5693345069885,636.4811677932739,bigbrain_0_4228_695.nii,161632
load_img,83.98912000656128,83.99261045455933,bigbrain_0_3020_4865.nii,161624
increment_data,119.89455080032349,120.76137351989746,bigbrain_0_3020_4865.nii,161624
save_incremented,206.0615530014038,447.98278069496155,bigbrain_0_3020_4865.nii,161624
load_img,1631.3770027160645,1631.5393390655518,bigbrain_0_0_3475.nii,161654
increment_data,1743.4320952892303,1749.7445259094238,bigbrain_0_0_3475.nii,161654
save_incremented,1824.0914287567139,1855.2270770072937,bigbrain_0_0_3475.nii,161654
load_img,74.69740724563599,77.57518887519836,bigbrain_0_2416_2780.nii,161579
increment_data,110.33241009712219,110.99128341674805,bigbrain_0_2416_2780.nii,161579
save_incremented,135.98824882507324,368.187593460083,bigbrain_0_2416_2780.nii,161579
load_img,875.354035615921,888.9556801319122,bigbrain_0_0_2780.nii,161607
increment_data,1021.1957106590271,1022.5686938762665,bigbrain_0_0_2780.nii,161607
save_incremented,1082.9853992462158,1157.6444358825684,bigbrain_0_0_2780.nii,161607
load_img,2828.238201856613,2829.1337332725525,bigbrain_0_0_695.nii,161618
increment_data,2958.659642934799,2961.0564432144165,bigbrain_0_0_695.nii,161618
save_incremented,3035.9104590415955,3104.415414094925,bigbrain_0_0_695.nii,161618
load_img,1954.4942622184753,1955.270485162735,bigbrain_0_2416_4170.nii,161386
increment_data,2081.1372334957123,2084.297701358795,bigbrain_0_2416_4170.nii,161386
save_incremented,2182.5243866443634,2263.652379989624,bigbrain_0_2416_4170.nii,161386
load_img,924.5851490497589,925.1473360061646,bigbrain_0_3020_6255.nii,161359
increment_data,1031.6900873184204,1033.2406742572784,bigbrain_0_3020_6255.nii,161359
save_incremented,1094.093295097351,1151.4084148406982,bigbrain_0_3020_6255.nii,161359
load_img,726.5696091651917,726.5732431411743,bigbrain_0_4228_2780.nii,161636
