driver_program,0,5286.379516839981,/home/users/vhayots/spark-1570981778-isilon_1it_25cpus_60sdelay_withpc_em-0,allfiles
increment_data,656.6911242008209,658.29123711586,bigbrain_0_2416_6255.nii,117776
save_incremented,663.6400535106659,774.7267060279846,bigbrain_0_2416_6255.nii,117776
load_img,4157.248708486557,4178.161497831345,bigbrain_0_1208_4170.nii,117768
increment_data,4184.293249845505,4194.766874551773,bigbrain_0_1208_4170.nii,117768
save_incremented,4222.4485585689545,4293.639660358429,bigbrain_0_1208_4170.nii,117768
load_img,277.7055504322052,284.72747707366943,bigbrain_0_4228_0.nii,117734
increment_data,296.19668078422546,427.69232845306396,bigbrain_0_4228_0.nii,117734
save_incremented,442.1132745742798,499.9247398376465,bigbrain_0_4228_0.nii,117734
load_img,4176.614161014557,4217.907794475555,bigbrain_0_4228_3475.nii,117716
increment_data,4241.312692165375,4249.477528333664,bigbrain_0_4228_3475.nii,117716
save_incremented,4266.627032518387,4323.035573244095,bigbrain_0_4228_3475.nii,117716
load_img,1978.3625860214233,1997.854523897171,bigbrain_0_1208_3475.nii,117760
increment_data,2017.5844123363495,2018.1979358196259,bigbrain_0_1208_3475.nii,117760
save_incremented,2026.7988004684448,2078.519760608673,bigbrain_0_1208_3475.nii,117760
load_img,2582.3309803009033,2599.037871360779,bigbrain_0_4228_6255.nii,117756
increment_data,2628.069286108017,2631.6170756816864,bigbrain_0_4228_6255.nii,117756
save_incremented,2641.5538170337677,2699.093529701233,bigbrain_0_4228_6255.nii,117756
load_img,5211.719730138779,5213.966422796249,bigbrain_0_1812_1390.nii,117776
increment_data,5222.646328210831,5224.973002672195,bigbrain_0_1812_1390.nii,117776
save_incremented,5229.111014127731,5283.91814494133,bigbrain_0_1812_1390.nii,117776
load_img,2128.909446954727,2161.367669582367,bigbrain_0_3624_4170.nii,117764
increment_data,2173.5366399288177,2178.8491423130035,bigbrain_0_3624_4170.nii,117764
save_incremented,2205.8601830005646,2293.9222877025604,bigbrain_0_3624_4170.nii,117764
load_img,2238.6617233753204,2238.6668903827667,bigbrain_0_0_4865.nii,117776
increment_data,2271.5365359783173,2274.4180681705475,bigbrain_0_0_4865.nii,117776
save_incremented,2290.695787191391,2357.5825793743134,bigbrain_0_0_4865.nii,117776
load_img,2995.8636479377747,3004.6118960380554,bigbrain_0_4228_0.nii,117787
increment_data,3017.5691187381744,3029.0451261997223,bigbrain_0_4228_0.nii,117787
