driver_program,0,169.26233792304993,/dev/shm/val/spark-1571384289-tmpfs_1it_25cpus_60delay_withpc-0,allfiles
increment_data,161.19130992889404,162.47245621681213,bigbrain_6160_3020_4865.nii,133256
save_incremented,162.47261095046997,163.2667055130005,bigbrain_6160_3020_4865.nii,133256
load_img,161.1721909046173,161.17414617538452,bigbrain_1540_604_5560.nii,133213
increment_data,161.1743552684784,162.5795316696167,bigbrain_1540_604_5560.nii,133213
save_incremented,162.57982206344604,163.3564052581787,bigbrain_1540_604_5560.nii,133213
load_img,161.08371758460999,161.0855257511139,bigbrain_5390_2416_6255.nii,133260
increment_data,161.0858974456787,162.40726041793823,bigbrain_5390_2416_6255.nii,133260
save_incremented,162.40744924545288,162.90706658363342,bigbrain_5390_2416_6255.nii,133260
load_img,160.88928532600403,160.8903305530548,bigbrain_0_4228_6255.nii,133195
increment_data,160.89054775238037,162.1965639591217,bigbrain_0_4228_6255.nii,133195
save_incremented,162.19672536849976,162.7791404724121,bigbrain_0_4228_6255.nii,133195
load_img,160.87842988967896,160.87956070899963,bigbrain_770_4228_4170.nii,133239
increment_data,160.87978887557983,162.14355611801147,bigbrain_770_4228_4170.nii,133239
save_incremented,162.14370274543762,163.04714679718018,bigbrain_770_4228_4170.nii,133239
load_img,160.856543302536,160.85914611816406,bigbrain_1540_3624_2085.nii,133231
increment_data,160.85944771766663,162.13972401618958,bigbrain_1540_3624_2085.nii,133231
save_incremented,162.13987493515015,162.73647379875183,bigbrain_1540_3624_2085.nii,133231
load_img,160.7607114315033,160.76180696487427,bigbrain_4620_2416_2085.nii,133198
increment_data,160.7620496749878,161.9973554611206,bigbrain_4620_2416_2085.nii,133198
save_incremented,161.9975621700287,162.64269185066223,bigbrain_4620_2416_2085.nii,133198
load_img,160.68377304077148,160.68480944633484,bigbrain_0_3624_2780.nii,133201
increment_data,160.68501806259155,161.91642260551453,bigbrain_0_3624_2780.nii,133201
save_incremented,161.91664481163025,162.87387037277222,bigbrain_0_3624_2780.nii,133201
load_img,160.67399215698242,160.67494654655457,bigbrain_6930_3020_0.nii,133247
increment_data,160.67513179779053,161.75269651412964,bigbrain_6930_3020_0.nii,133247
save_incremented,161.75286078453064,162.43110251426697,bigbrain_6930_3020_0.nii,133247
load_img,159.07881045341492,159.08156991004944,bigbrain_770_3020_2780.nii,133260
increment_data,159.08195042610168,160.58172512054443,bigbrain_770_3020_2780.nii,133260
save_incremented,160.58207488059998,161.0811161994934,bigbrain_770_3020_2780.nii,133260
load_img,158.83629536628723,158.83820247650146,bigbrain_2310_1208_5560.nii,133253
increment_data,158.83847308158875,160.6905608177185,bigbrain_2310_1208_5560.nii,133253
