driver_program,0,221.1661183834076,/dev/shm/val/spark-1570966655-tmpfs_1it_96cpus_0delay_npc-1,allfiles
load_img,214.45916771888733,214.46014070510864,bigbrain_3850_3624_1390.nii,114449
increment_data,214.46031212806702,215.27141690254211,bigbrain_3850_3624_1390.nii,114449
save_incremented,215.27157497406006,215.91042757034302,bigbrain_3850_3624_1390.nii,114449
load_img,214.1485617160797,214.14951539039612,bigbrain_4620_3624_3475.nii,114530
increment_data,214.14982056617737,214.82299041748047,bigbrain_4620_3624_3475.nii,114530
save_incremented,214.82322692871094,215.66420936584473,bigbrain_4620_3624_3475.nii,114530
load_img,213.95065450668335,213.951518535614,bigbrain_0_4832_0.nii,114493
increment_data,213.95167517662048,214.61117506027222,bigbrain_0_4832_0.nii,114493
save_incremented,214.61138653755188,215.32407760620117,bigbrain_0_4832_0.nii,114493
load_img,213.01864337921143,213.01957869529724,bigbrain_770_4228_2085.nii,114449
increment_data,213.01998472213745,213.83961176872253,bigbrain_770_4228_2085.nii,114449
save_incremented,213.83976578712463,214.4566354751587,bigbrain_770_4228_2085.nii,114449
load_img,212.65001463890076,212.65092253684998,bigbrain_2310_604_2085.nii,114493
increment_data,212.65109586715698,213.31001353263855,bigbrain_2310_604_2085.nii,114493
save_incremented,213.31015920639038,213.94823575019836,bigbrain_2310_604_2085.nii,114493
load_img,212.56268000602722,212.56367325782776,bigbrain_3850_0_695.nii,114530
increment_data,212.56385040283203,213.31999135017395,bigbrain_3850_0_695.nii,114530
save_incremented,213.32012033462524,214.14596724510193,bigbrain_3850_0_695.nii,114530
load_img,211.65382933616638,211.655042886734,bigbrain_2310_2416_695.nii,114449
increment_data,211.65524458885193,212.31286787986755,bigbrain_2310_2416_695.nii,114449
save_incremented,212.31301307678223,213.0160617828369,bigbrain_2310_2416_695.nii,114449
load_img,211.34450006484985,211.3454146385193,bigbrain_5390_0_1390.nii,114493
increment_data,211.34575080871582,212.02219557762146,bigbrain_5390_0_1390.nii,114493
save_incremented,212.02235579490662,212.64761757850647,bigbrain_5390_0_1390.nii,114493
load_img,211.26842212677002,211.26936030387878,bigbrain_3850_4228_5560.nii,114530
increment_data,211.26953220367432,211.88870525360107,bigbrain_3850_4228_5560.nii,114530
save_incremented,211.88887429237366,212.55988836288452,bigbrain_3850_4228_5560.nii,114530
load_img,210.25454139709473,210.25558710098267,bigbrain_770_3624_6255.nii,114449
increment_data,210.25576424598694,211.01275491714478,bigbrain_770_3624_6255.nii,114449
save_incremented,211.01291346549988,211.65138792991638,bigbrain_770_3624_6255.nii,114449
load_img,210.18203806877136,210.18326568603516,bigbrain_3850_0_0.nii,114530
increment_data,210.18348002433777,210.80723810195923,bigbrain_3850_0_0.nii,114530
save_incremented,210.80742168426514,211.26593899726868,bigbrain_3850_0_0.nii,114530
load_img,210.01944661140442,210.02047300338745,bigbrain_6930_5436_1390.nii,114493
increment_data,210.02068543434143,210.69424772262573,bigbrain_6930_5436_1390.nii,114493
save_incremented,210.69439482688904,211.3419063091278,bigbrain_6930_5436_1390.nii,114493
load_img,209.16621494293213,209.16718411445618,bigbrain_2310_1812_2085.nii,114449
increment_data,209.16735291481018,209.77703523635864,bigbrain_2310_1812_2085.nii,114449
save_incremented,209.77720260620117,210.2510950565338,bigbrain_2310_1812_2085.nii,114449
load_img,208.71271514892578,208.7137475013733,bigbrain_3080_3624_695.nii,114530
increment_data,208.71393656730652,209.4407069683075,bigbrain_3080_3624_695.nii,114530
save_incremented,209.4408643245697,210.17927479743958,bigbrain_3080_3624_695.nii,114530
load_img,208.62844371795654,208.62932586669922,bigbrain_3080_4228_4865.nii,114493
increment_data,208.6295132637024,209.3194727897644,bigbrain_3080_4228_4865.nii,114493
save_incremented,209.31969046592712,210.01691222190857,bigbrain_3080_4228_4865.nii,114493
load_img,208.06424283981323,208.0651979446411,bigbrain_3080_4228_695.nii,114449
increment_data,208.06538105010986,208.6976137161255,bigbrain_3080_4228_695.nii,114449
save_incremented,208.69777512550354,209.16363072395325,bigbrain_3080_4228_695.nii,114449
load_img,207.49226069450378,207.49337673187256,bigbrain_6930_5436_6255.nii,114530
increment_data,207.49364256858826,208.20627617835999,bigbrain_6930_5436_6255.nii,114530
save_incremented,208.2064483165741,208.70979166030884,bigbrain_6930_5436_6255.nii,114530
load_img,207.44818711280823,207.44913172721863,bigbrain_3850_5436_5560.nii,114493
increment_data,207.44930624961853,208.18016481399536,bigbrain_3850_5436_5560.nii,114493
save_incremented,208.1803228855133,208.6259732246399,bigbrain_3850_5436_5560.nii,114493
load_img,206.0133810043335,206.01787543296814,bigbrain_6160_3624_4170.nii,114449
increment_data,206.01814246177673,207.5562036037445,bigbrain_6160_3624_4170.nii,114449
save_incremented,207.55640745162964,208.0616099834442,bigbrain_6160_3624_4170.nii,114449
load_img,205.19776034355164,205.2024314403534,bigbrain_3080_3020_4865.nii,114481
increment_data,205.20279550552368,206.91662645339966,bigbrain_3080_3020_4865.nii,114481
save_incremented,206.91683650016785,207.68651723861694,bigbrain_3080_3020_4865.nii,114481
load_img,205.13100409507751,205.1330282688141,bigbrain_3080_5436_6255.nii,114493
increment_data,205.13365197181702,206.82533168792725,bigbrain_3080_5436_6255.nii,114493
save_incremented,206.82650232315063,207.44563126564026,bigbrain_3080_5436_6255.nii,114493
load_img,204.87479996681213,204.8770236968994,bigbrain_3850_604_5560.nii,114501
increment_data,204.87762331962585,207.02348041534424,bigbrain_3850_604_5560.nii,114501
save_incremented,207.02367997169495,207.78606534004211,bigbrain_3850_604_5560.nii,114501
load_img,204.82232856750488,204.82503986358643,bigbrain_5390_3624_0.nii,114489
increment_data,204.8256962299347,206.9106936454773,bigbrain_5390_3624_0.nii,114489
save_incremented,206.91087532043457,207.68628978729248,bigbrain_5390_3624_0.nii,114489
load_img,204.64442014694214,204.64888668060303,bigbrain_4620_3624_6255.nii,114454
increment_data,204.6492874622345,206.8629469871521,bigbrain_4620_3624_6255.nii,114454
save_incremented,206.86314964294434,207.72692608833313,bigbrain_4620_3624_6255.nii,114454
load_img,204.48985600471497,204.49502968788147,bigbrain_2310_4228_3475.nii,114550
increment_data,204.49550414085388,206.40070629119873,bigbrain_2310_4228_3475.nii,114550
save_incremented,206.40208077430725,207.3496913909912,bigbrain_2310_4228_3475.nii,114550
load_img,204.46602201461792,204.47123742103577,bigbrain_6930_3624_3475.nii,114574
increment_data,204.47228598594666,206.64880418777466,bigbrain_6930_3624_3475.nii,114574
save_incremented,206.6489975452423,207.59223866462708,bigbrain_6930_3624_3475.nii,114574
load_img,204.4159004688263,204.4177348613739,bigbrain_6160_1812_1390.nii,114317
increment_data,204.41807579994202,206.40835428237915,bigbrain_6160_1812_1390.nii,114317
save_incremented,206.40868854522705,207.43097138404846,bigbrain_6160_1812_1390.nii,114317
load_img,204.3246283531189,204.3267056941986,bigbrain_6160_3624_3475.nii,114555
increment_data,204.3271677494049,206.46570944786072,bigbrain_6160_3624_3475.nii,114555
save_incremented,206.46601057052612,207.51950645446777,bigbrain_6160_3624_3475.nii,114555
load_img,204.2917742729187,204.29453229904175,bigbrain_3850_1208_6255.nii,114440
increment_data,204.29527616500854,206.23969531059265,bigbrain_3850_1208_6255.nii,114440
save_incremented,206.2404704093933,207.28784823417664,bigbrain_3850_1208_6255.nii,114440
load_img,204.28260040283203,204.28395104408264,bigbrain_4620_604_2780.nii,114530
increment_data,204.28427648544312,206.35808849334717,bigbrain_4620_604_2780.nii,114530
save_incremented,206.3583948612213,207.48868680000305,bigbrain_4620_604_2780.nii,114530
load_img,204.19687294960022,204.19862365722656,bigbrain_3850_0_6255.nii,114538
increment_data,204.19893836975098,206.13488626480103,bigbrain_3850_0_6255.nii,114538
save_incremented,206.13538789749146,207.25172543525696,bigbrain_3850_0_6255.nii,114538
