driver_program,0,323.8527488708496,/pmem1-data/val/spark-1570914005-optaneAD_1it_25cpus_120delay_withpc_em-1,allfiles
load_img,5.615150451660156,5.6181652545928955,bigbrain_0_2416_4865.nii,156988
increment_data,5.620027303695679,14.56945276260376,bigbrain_0_2416_4865.nii,156988
save_incremented,14.5700204372406,26.654024124145508,bigbrain_0_2416_4865.nii,156988
load_img,5.613709926605225,5.618340969085693,bigbrain_0_3020_2780.nii,156972
increment_data,5.620090484619141,14.73792052268982,bigbrain_0_3020_2780.nii,156972
save_incremented,14.738185405731201,16.888660430908203,bigbrain_0_3020_2780.nii,156972
load_img,5.625110149383545,5.627790212631226,bigbrain_0_4228_4865.nii,156975
increment_data,5.628619909286499,13.308855772018433,bigbrain_0_4228_4865.nii,156975
save_incremented,13.312848567962646,32.47339463233948,bigbrain_0_4228_4865.nii,156975
load_img,5.628047227859497,5.633165121078491,bigbrain_0_4228_4865.nii,157029
increment_data,5.634749889373779,13.316706418991089,bigbrain_0_4228_4865.nii,157029
save_incremented,13.321274995803833,30.143891096115112,bigbrain_0_4228_4865.nii,157029
load_img,5.633645534515381,5.637814044952393,bigbrain_0_4228_6255.nii,156978
increment_data,5.638566255569458,14.372552633285522,bigbrain_0_4228_6255.nii,156978
save_incremented,14.374202013015747,20.393677711486816,bigbrain_0_4228_6255.nii,156978
load_img,5.6358277797698975,5.638283014297485,bigbrain_0_3624_695.nii,157039
increment_data,5.639240026473999,13.453159809112549,bigbrain_0_3624_695.nii,157039
save_incremented,13.455113649368286,22.97859025001526,bigbrain_0_3624_695.nii,157039
load_img,5.638889789581299,5.643639326095581,bigbrain_0_3624_695.nii,157013
increment_data,5.645232677459717,13.453137874603271,bigbrain_0_3624_695.nii,157013
save_incremented,13.455160140991211,28.40791392326355,bigbrain_0_3624_695.nii,157013
load_img,5.645321846008301,5.648396253585815,bigbrain_0_3020_4865.nii,157025
increment_data,5.649637460708618,14.313138246536255,bigbrain_0_3020_4865.nii,157025
save_incremented,14.313989639282227,17.251848697662354,bigbrain_0_3020_4865.nii,157025
load_img,5.645820379257202,5.648691654205322,bigbrain_0_2416_2780.nii,156999
increment_data,5.650806188583374,14.24194073677063,bigbrain_0_2416_2780.nii,156999
save_incremented,14.242908239364624,29.07987952232361,bigbrain_0_2416_2780.nii,156999
load_img,5.647872447967529,5.654181480407715,bigbrain_0_3020_2780.nii,156992
increment_data,5.656134605407715,14.550203800201416,bigbrain_0_3020_2780.nii,156992
save_incremented,14.550742864608765,17.173812866210938,bigbrain_0_3020_2780.nii,156992
load_img,5.647489309310913,5.655598163604736,bigbrain_0_4228_6255.nii,156984
increment_data,5.657459497451782,14.568433284759521,bigbrain_0_4228_6255.nii,156984
save_incremented,14.569135189056396,23.915029525756836,bigbrain_0_4228_6255.nii,156984
load_img,5.65009617805481,5.658602952957153,bigbrain_0_2416_4865.nii,157033
increment_data,5.663517236709595,14.56532096862793,bigbrain_0_2416_4865.nii,157033
save_incremented,14.565916538238525,28.300153255462646,bigbrain_0_2416_4865.nii,157033
