driver_program,0,910.5066287517548,/pmem1-data/val/spark-1570553319-optaneAD_1it_96cpus_0delay_npc-2,allfiles
save_incremented,111.98772621154785,152.40694880485535,bigbrain_4620_4832_6255.nii,106724
load_img,107.29477763175964,108.47656559944153,bigbrain_3850_1812_695.nii,106794
increment_data,108.48216986656189,110.91033601760864,bigbrain_3850_1812_695.nii,106794
save_incremented,110.91230511665344,161.84557008743286,bigbrain_3850_1812_695.nii,106794
load_img,107.40216135978699,108.47812414169312,bigbrain_6160_0_3475.nii,106938
increment_data,108.48384928703308,110.60577988624573,bigbrain_6160_0_3475.nii,106938
save_incremented,110.60890078544617,152.1102750301361,bigbrain_6160_0_3475.nii,106938
load_img,106.88087821006775,108.48158264160156,bigbrain_6930_2416_2085.nii,106722
increment_data,108.49242782592773,111.92416644096375,bigbrain_6930_2416_2085.nii,106722
save_incremented,111.92538285255432,138.59002900123596,bigbrain_6930_2416_2085.nii,106722
load_img,107.45742630958557,108.49217081069946,bigbrain_6930_604_4170.nii,106863
increment_data,108.49885749816895,112.0071952342987,bigbrain_6930_604_4170.nii,106863
save_incremented,112.00944066047668,152.56989216804504,bigbrain_6930_604_4170.nii,106863
load_img,107.24754667282104,108.49777269363403,bigbrain_1540_3624_695.nii,106809
increment_data,108.50494694709778,110.8175642490387,bigbrain_1540_3624_695.nii,106809
save_incremented,110.81940364837646,159.82860708236694,bigbrain_1540_3624_695.nii,106809
load_img,107.13218879699707,108.51070976257324,bigbrain_6160_0_1390.nii,106755
increment_data,108.52064633369446,111.72590756416321,bigbrain_6160_0_1390.nii,106755
save_incremented,111.72653579711914,155.30915784835815,bigbrain_6160_0_1390.nii,106755
load_img,106.91081476211548,108.51745462417603,bigbrain_3850_1208_1390.nii,106749
increment_data,108.5350193977356,112.12637972831726,bigbrain_3850_1208_1390.nii,106749
save_incremented,112.12686729431152,143.05672597885132,bigbrain_3850_1208_1390.nii,106749
load_img,106.93821954727173,108.52218079566956,bigbrain_3080_2416_5560.nii,106788
increment_data,108.53507208824158,112.26125121116638,bigbrain_3080_2416_5560.nii,106788
save_incremented,112.26188826560974,145.5709888935089,bigbrain_3080_2416_5560.nii,106788
load_img,107.25771260261536,108.51616501808167,bigbrain_6160_4228_2780.nii,106926
increment_data,108.53577995300293,110.96630477905273,bigbrain_6160_4228_2780.nii,106926
save_incremented,110.9673023223877,119.06380844116211,bigbrain_6160_4228_2780.nii,106926
load_img,107.10132360458374,108.53383207321167,bigbrain_3080_1208_4865.nii,106758
increment_data,108.54253435134888,111.13984203338623,bigbrain_3080_1208_4865.nii,106758
save_incremented,111.14070010185242,151.4441077709198,bigbrain_3080_1208_4865.nii,106758
load_img,106.95548391342163,108.54175972938538,bigbrain_6930_3624_6255.nii,106752
