driver_program,0,60.31453561782837,/dev/shm/val/spark-1570915214-tmpfsAD_1it_96cpus_0delay_npc_em-1,allfiles
save_incremented,51.28802037239075,51.9015851020813,bigbrain_0_4228_1390.nii,158364
load_img,50.818403244018555,50.81935214996338,bigbrain_0_2416_4865.nii,158456
increment_data,50.819530963897705,51.19086527824402,bigbrain_0_2416_4865.nii,158456
save_incremented,51.19101405143738,51.858656883239746,bigbrain_0_2416_4865.nii,158456
load_img,50.75095057487488,50.75200939178467,bigbrain_0_0_0.nii,158413
increment_data,50.752233028411865,51.15915322303772,bigbrain_0_0_0.nii,158413
save_incremented,51.1593177318573,53.08137798309326,bigbrain_0_0_0.nii,158413
load_img,50.61355543136597,50.61443901062012,bigbrain_0_0_0.nii,158315
increment_data,50.61459302902222,51.02246952056885,bigbrain_0_0_0.nii,158315
save_incremented,51.02259349822998,53.0487322807312,bigbrain_0_0_0.nii,158315
load_img,50.61033320426941,50.61134099960327,bigbrain_0_4228_695.nii,158272
increment_data,50.61154341697693,51.02041411399841,bigbrain_0_4228_695.nii,158272
save_incremented,51.02057337760925,51.61645150184631,bigbrain_0_4228_695.nii,158272
load_img,50.326457023620605,50.32770800590515,bigbrain_0_0_0.nii,158400
increment_data,50.3279926776886,50.71597862243652,bigbrain_0_0_0.nii,158400
save_incremented,50.71611952781677,52.73873209953308,bigbrain_0_0_0.nii,158400
load_img,50.1870231628418,50.18882942199707,bigbrain_0_0_6255.nii,158251
increment_data,50.189462423324585,50.58942174911499,bigbrain_0_0_6255.nii,158251
save_incremented,50.58956217765808,51.65972089767456,bigbrain_0_0_6255.nii,158251
load_img,50.13320779800415,50.134238481521606,bigbrain_0_0_0.nii,158573
increment_data,50.134451389312744,50.55628776550293,bigbrain_0_0_0.nii,158573
save_incremented,50.556442975997925,51.58655762672424,bigbrain_0_0_0.nii,158573
load_img,50.09962320327759,50.10065507888794,bigbrain_0_0_6255.nii,158393
increment_data,50.10087323188782,50.521681785583496,bigbrain_0_0_6255.nii,158393
save_incremented,50.521870374679565,51.62821960449219,bigbrain_0_0_6255.nii,158393
load_img,50.08181023597717,50.083009481430054,bigbrain_0_0_6255.nii,158368
increment_data,50.08324837684631,50.486732959747314,bigbrain_0_0_6255.nii,158368
save_incremented,50.48692464828491,52.08363676071167,bigbrain_0_0_6255.nii,158368
load_img,50.07479119300842,50.07578754425049,bigbrain_0_3020_4865.nii,158425
increment_data,50.075993061065674,50.49892592430115,bigbrain_0_3020_4865.nii,158425
save_incremented,50.49908375740051,51.43935441970825,bigbrain_0_3020_4865.nii,158425
load_img,50.04254770278931,50.04365038871765,bigbrain_0_3020_4865.nii,158605
increment_data,50.043888568878174,50.44613194465637,bigbrain_0_3020_4865.nii,158605
save_incremented,50.44629955291748,51.35455560684204,bigbrain_0_3020_4865.nii,158605
load_img,49.93704962730408,49.938143491744995,bigbrain_0_3020_4865.nii,158267
increment_data,49.938360929489136,50.33989191055298,bigbrain_0_3020_4865.nii,158267
save_incremented,50.34007906913757,51.345399379730225,bigbrain_0_3020_4865.nii,158267
load_img,49.84612488746643,49.8470561504364,bigbrain_0_0_2085.nii,158364
increment_data,49.84732961654663,50.27028179168701,bigbrain_0_0_2085.nii,158364
save_incremented,50.27044653892517,50.87756681442261,bigbrain_0_0_2085.nii,158364
load_img,49.839637994766235,49.840980529785156,bigbrain_0_0_6255.nii,158563
increment_data,49.841224193573,50.25953531265259,bigbrain_0_0_6255.nii,158563
save_incremented,50.25968885421753,51.594120502471924,bigbrain_0_0_6255.nii,158563
load_img,49.649596214294434,49.65090227127075,bigbrain_0_0_6255.nii,158289
increment_data,49.65119385719299,50.053112268447876,bigbrain_0_0_6255.nii,158289
save_incremented,50.05328989028931,51.11157488822937,bigbrain_0_0_6255.nii,158289
load_img,49.609339475631714,49.61049199104309,bigbrain_0_3020_2780.nii,158384
increment_data,49.610729932785034,50.01999068260193,bigbrain_0_3020_2780.nii,158384
save_incremented,50.02092099189758,50.69050717353821,bigbrain_0_3020_2780.nii,158384
load_img,49.57602500915527,49.577009201049805,bigbrain_0_3020_2085.nii,158272
increment_data,49.57720160484314,50.00084090232849,bigbrain_0_3020_2085.nii,158272
save_incremented,50.00127720832825,50.60742139816284,bigbrain_0_3020_2085.nii,158272
load_img,49.44466423988342,49.44583249092102,bigbrain_0_3020_4865.nii,158559
increment_data,49.44606161117554,49.857415199279785,bigbrain_0_3020_4865.nii,158559
save_incremented,49.85757803916931,50.764511585235596,bigbrain_0_3020_4865.nii,158559
load_img,49.401246786117554,49.40225672721863,bigbrain_0_0_6255.nii,158456
increment_data,49.4024658203125,49.8092725276947,bigbrain_0_0_6255.nii,158456
save_incremented,49.80945158004761,50.81529188156128,bigbrain_0_0_6255.nii,158456
load_img,49.360915660858154,49.36203169822693,bigbrain_0_1208_2780.nii,158438
increment_data,49.36226725578308,49.76906633377075,bigbrain_0_1208_2780.nii,158438
save_incremented,49.769232988357544,51.03185844421387,bigbrain_0_1208_2780.nii,158438
load_img,49.01861786842346,49.01996183395386,bigbrain_0_1208_2780.nii,158413
increment_data,49.02025532722473,49.45342946052551,bigbrain_0_1208_2780.nii,158413
save_incremented,49.45359420776367,50.74785876274109,bigbrain_0_1208_2780.nii,158413
load_img,48.97768688201904,48.97892665863037,bigbrain_0_2416_2780.nii,158550
increment_data,48.97918677330017,49.39300847053528,bigbrain_0_2416_2780.nii,158550
save_incremented,49.39315223693848,50.556498765945435,bigbrain_0_2416_2780.nii,158550
load_img,48.96913552284241,48.97040867805481,bigbrain_0_3020_4865.nii,158356
increment_data,48.970661640167236,49.38703513145447,bigbrain_0_3020_4865.nii,158356
save_incremented,49.387205600738525,50.11383867263794,bigbrain_0_3020_4865.nii,158356
load_img,48.804529428482056,48.80671668052673,bigbrain_0_2416_2780.nii,158451
increment_data,48.807119369506836,49.249207735061646,bigbrain_0_2416_2780.nii,158451
save_incremented,49.24936270713806,50.561259269714355,bigbrain_0_2416_2780.nii,158451
load_img,48.79516267776489,48.79742884635925,bigbrain_0_2416_4865.nii,158433
