driver_program,0,7167.418877840042,/home/users/vhayots/spark-1571392383-isilon_1it_96cpus_0delay_npc-0,allfiles
save_incremented,3112.4784910678864,3144.352170228958,bigbrain_0_4832_3475.nii,135402
load_img,5996.491699695587,6005.3736577034,bigbrain_770_1208_1390.nii,135265
increment_data,6367.41184258461,6381.414218902588,bigbrain_770_1208_1390.nii,135265
save_incremented,6539.982555389404,6612.414845466614,bigbrain_770_1208_1390.nii,135265
load_img,5601.0351984500885,5605.475201845169,bigbrain_1540_4832_2780.nii,135327
increment_data,5961.145922660828,5987.461052179337,bigbrain_1540_4832_2780.nii,135327
save_incremented,5996.523337841034,6216.337018966675,bigbrain_1540_4832_2780.nii,135327
load_img,3412.959057569504,3433.6770255565643,bigbrain_3080_1208_5560.nii,135515
increment_data,3693.998477935791,3709.004054069519,bigbrain_3080_1208_5560.nii,135515
save_incremented,3763.0377531051636,3929.0876755714417,bigbrain_3080_1208_5560.nii,135515
load_img,2678.8648810386658,2697.6642603874207,bigbrain_770_4832_4170.nii,135416
increment_data,2961.9399914741516,3000.186688184738,bigbrain_770_4832_4170.nii,135416
save_incremented,3115.096235513687,3193.5570476055145,bigbrain_770_4832_4170.nii,135416
load_img,1897.5169625282288,1917.1408178806305,bigbrain_1540_1208_2085.nii,135515
increment_data,2300.1984362602234,2332.18431019783,bigbrain_1540_1208_2085.nii,135515
save_incremented,2473.872175216675,2644.9740319252014,bigbrain_1540_1208_2085.nii,135515
load_img,6367.743285894394,6383.356296300888,bigbrain_3080_1812_5560.nii,135520
increment_data,6667.063118934631,6707.121648073196,bigbrain_3080_1812_5560.nii,135520
save_incremented,6718.174245119095,6914.571437597275,bigbrain_3080_1812_5560.nii,135520
load_img,1900.0295407772064,1917.5219812393188,bigbrain_6160_3020_2780.nii,135502
increment_data,2329.2372019290924,2364.4694781303406,bigbrain_6160_3020_2780.nii,135502
save_incremented,2475.5098526477814,2679.360154390335,bigbrain_6160_3020_2780.nii,135502
load_img,4784.029277086258,4803.591386079788,bigbrain_4620_1208_6255.nii,135195
increment_data,5003.205294847488,5056.653486728668,bigbrain_4620_1208_6255.nii,135195
save_incremented,5128.398781776428,5269.8171627521515,bigbrain_4620_1208_6255.nii,135195
load_img,3281.4835798740387,3302.5003163814545,bigbrain_5390_4228_695.nii,135365
increment_data,3423.902692556381,3442.993721485138,bigbrain_5390_4228_695.nii,135365
save_incremented,3453.115859746933,3739.5899291038513,bigbrain_5390_4228_695.nii,135365
load_img,4269.544590711594,4294.0747056007385,bigbrain_1540_2416_6255.nii,135370
increment_data,4487.330883264542,4524.9930782318115,bigbrain_1540_2416_6255.nii,135370
save_incremented,4588.608258485794,4754.038759469986,bigbrain_1540_2416_6255.nii,135370
load_img,2697.66521024704,2697.763063430786,bigbrain_6160_3020_4170.nii,135183
increment_data,3110.123013496399,3132.1238465309143,bigbrain_6160_3020_4170.nii,135183
save_incremented,3319.461885213852,3403.5864176750183,bigbrain_6160_3020_4170.nii,135183
load_img,4418.479616880417,4440.634061336517,bigbrain_2310_1812_5560.nii,135383
increment_data,4623.168869256973,4670.0617690086365,bigbrain_2310_1812_5560.nii,135383
save_incremented,4784.649146556854,4908.127228975296,bigbrain_2310_1812_5560.nii,135383
load_img,5605.1753051280975,5607.64346575737,bigbrain_6160_4228_0.nii,135437
increment_data,5977.653875589371,5996.509484767914,bigbrain_6160_4228_0.nii,135437
save_incremented,6000.952201128006,6235.692666769028,bigbrain_6160_4228_0.nii,135437
load_img,82.4008846282959,106.26622557640076,bigbrain_1540_2416_0.nii,135290
increment_data,180.456524848938,211.2194950580597,bigbrain_1540_2416_0.nii,135290
save_incremented,592.8948082923889,628.3116965293884,bigbrain_1540_2416_0.nii,135290
load_img,4906.902811527252,4930.514047384262,bigbrain_6160_4228_695.nii,135354
increment_data,5157.681158065796,5181.616518735886,bigbrain_6160_4228_695.nii,135354
save_incremented,5194.158713817596,5434.955600261688,bigbrain_6160_4228_695.nii,135354
load_img,12.583074808120728,12.902700662612915,bigbrain_3850_604_695.nii,135160
increment_data,13.200289249420166,29.753746032714844,bigbrain_3850_604_695.nii,135160
