driver_program,0,4128.35239648819,/home/users/vhayots/spark-1570987718-isilon_1it_96cpus_0delay_npc_em-0,allfiles
save_incremented,494.9755392074585,665.4084722995758,bigbrain_0_4228_695.nii,120607
load_img,1073.6344211101532,1073.6399509906769,bigbrain_0_3020_6255.nii,120511
increment_data,1183.3912551403046,1184.5730459690094,bigbrain_0_3020_6255.nii,120511
save_incremented,1275.2429559230804,1333.7235510349274,bigbrain_0_3020_6255.nii,120511
load_img,23.339589595794678,41.26120114326477,bigbrain_0_4228_6255.nii,120311
increment_data,51.6950249671936,52.87865877151489,bigbrain_0_4228_6255.nii,120311
save_incremented,81.13281893730164,103.4520263671875,bigbrain_0_4228_6255.nii,120311
load_img,1245.7696332931519,1261.9254758358002,bigbrain_0_1208_2085.nii,120336
increment_data,1375.313059091568,1377.018392086029,bigbrain_0_1208_2085.nii,120336
save_incremented,1490.9677469730377,1542.3671929836273,bigbrain_0_1208_2085.nii,120336
load_img,4065.46679520607,4066.372463464737,bigbrain_0_0_4170.nii,120340
increment_data,4066.8491246700287,4067.6608028411865,bigbrain_0_0_4170.nii,120340
save_incremented,4067.936321258545,4086.0190811157227,bigbrain_0_0_4170.nii,120340
load_img,690.5620486736298,693.0778880119324,bigbrain_0_3020_3475.nii,120293
increment_data,808.9127745628357,840.4529616832733,bigbrain_0_3020_3475.nii,120293
save_incremented,918.5244514942169,970.4604897499084,bigbrain_0_3020_3475.nii,120293
load_img,1621.691909313202,1622.3710470199585,bigbrain_0_1812_2780.nii,120474
increment_data,1704.0609657764435,1706.033131122589,bigbrain_0_1812_2780.nii,120474
save_incremented,1822.5503957271576,1960.7401089668274,bigbrain_0_1812_2780.nii,120474
load_img,2080.003023147583,2080.0074486732483,bigbrain_0_2416_6255.nii,120629
increment_data,2180.9659221172333,2182.8434970378876,bigbrain_0_2416_6255.nii,120629
save_incremented,2310.2779307365417,2416.408554792404,bigbrain_0_2416_6255.nii,120629
load_img,4001.318459749222,4002.1975321769714,bigbrain_0_3624_2085.nii,120672
increment_data,4002.660630941391,4003.5617895126343,bigbrain_0_3624_2085.nii,120672
save_incremented,4004.7285001277924,4023.6659350395203,bigbrain_0_3624_2085.nii,120672
load_img,3599.5989549160004,3603.4240000247955,bigbrain_0_3624_1390.nii,120349
increment_data,3653.6050157546997,3691.450869321823,bigbrain_0_3624_1390.nii,120349
save_incremented,3739.5723168849945,3806.8505935668945,bigbrain_0_3624_1390.nii,120349
load_img,4082.7651891708374,4083.778046607971,bigbrain_0_3624_1390.nii,120499
increment_data,4084.276251554489,4085.231433391571,bigbrain_0_3624_1390.nii,120499
save_incremented,4085.67569231987,4101.773110628128,bigbrain_0_3624_1390.nii,120499
load_img,1613.1942093372345,1613.6926882266998,bigbrain_0_0_2085.nii,120531
increment_data,1697.8517155647278,1700.0782661437988,bigbrain_0_0_2085.nii,120531
save_incremented,1795.115877866745,1897.0013391971588,bigbrain_0_0_2085.nii,120531
load_img,2226.7649943828583,2227.6558797359467,bigbrain_0_2416_1390.nii,120577
