driver_program,0,1037.7052314281464,/home/val/spark-1570980315-local_1it_96cpus_0delay_npc_em-0,allfiles
save_incremented,20.3220431804657,23.786956310272217,bigbrain_0_4228_4865.nii,116731
load_img,12.393695831298828,12.396416664123535,bigbrain_0_3624_695.nii,116741
increment_data,12.396927833557129,19.95977783203125,bigbrain_0_3624_695.nii,116741
save_incremented,19.96058487892151,56.16362476348877,bigbrain_0_3624_695.nii,116741
load_img,12.397047996520996,12.398951530456543,bigbrain_0_3624_695.nii,116734
increment_data,12.39939284324646,19.95778226852417,bigbrain_0_3624_695.nii,116734
save_incremented,19.957998037338257,55.15712261199951,bigbrain_0_3624_695.nii,116734
load_img,12.440040826797485,12.488020658493042,bigbrain_0_3020_4865.nii,116745
increment_data,12.488860845565796,20.33260464668274,bigbrain_0_3020_4865.nii,116745
save_incremented,20.332845211029053,72.465078830719,bigbrain_0_3020_4865.nii,116745
load_img,12.558592557907104,12.560770511627197,bigbrain_0_3020_4865.nii,116750
increment_data,12.561264276504517,20.33250665664673,bigbrain_0_3020_4865.nii,116750
save_incremented,20.33272886276245,75.27272033691406,bigbrain_0_3020_4865.nii,116750
load_img,12.59079098701477,12.592956781387329,bigbrain_0_4228_6255.nii,116754
increment_data,12.593599081039429,19.850597620010376,bigbrain_0_4228_6255.nii,116754
save_incremented,19.850894451141357,22.471937656402588,bigbrain_0_4228_6255.nii,116754
load_img,12.595379114151001,12.598055124282837,bigbrain_0_4228_4865.nii,116758
increment_data,12.598792552947998,20.320589542388916,bigbrain_0_4228_4865.nii,116758
save_incremented,20.320996522903442,24.936153173446655,bigbrain_0_4228_4865.nii,116758
load_img,12.62477707862854,12.627070426940918,bigbrain_0_2416_4865.nii,116762
increment_data,12.627755641937256,20.2964768409729,bigbrain_0_2416_4865.nii,116762
save_incremented,20.297247648239136,24.71470594406128,bigbrain_0_2416_4865.nii,116762
load_img,12.648674488067627,12.651379346847534,bigbrain_0_3624_695.nii,116766
increment_data,12.65183973312378,19.9578378200531,bigbrain_0_3624_695.nii,116766
save_incremented,19.95805287361145,55.96532464027405,bigbrain_0_3624_695.nii,116766
load_img,12.66365647315979,12.665815114974976,bigbrain_0_4228_4865.nii,116773
increment_data,12.666423320770264,20.32015824317932,bigbrain_0_4228_4865.nii,116773
save_incremented,20.32069730758667,24.919959783554077,bigbrain_0_4228_4865.nii,116773
load_img,12.698392868041992,12.700990438461304,bigbrain_0_3020_2780.nii,116770
increment_data,12.701507568359375,20.191938400268555,bigbrain_0_3020_2780.nii,116770
save_incremented,20.192342042922974,24.7486891746521,bigbrain_0_3020_2780.nii,116770
load_img,12.713337898254395,12.715353965759277,bigbrain_0_3624_695.nii,116786
increment_data,12.715917587280273,19.95807933807373,bigbrain_0_3624_695.nii,116786
save_incremented,19.958242893218994,55.16265392303467,bigbrain_0_3624_695.nii,116786
load_img,12.733883380889893,12.736080884933472,bigbrain_0_3020_4865.nii,116780
increment_data,12.736706018447876,20.332561016082764,bigbrain_0_3020_4865.nii,116780
save_incremented,20.332789421081543,75.26239919662476,bigbrain_0_3020_4865.nii,116780
load_img,12.740590572357178,12.742679119110107,bigbrain_0_3020_4865.nii,116791
increment_data,12.743131637573242,20.332297563552856,bigbrain_0_3020_4865.nii,116791
save_incremented,20.332542181015015,60.92843699455261,bigbrain_0_3020_4865.nii,116791
load_img,12.761067628860474,12.762845993041992,bigbrain_0_2416_4865.nii,116799
increment_data,12.763384103775024,20.29532289505005,bigbrain_0_2416_4865.nii,116799
save_incremented,20.295674562454224,23.262942790985107,bigbrain_0_2416_4865.nii,116799
load_img,12.778989553451538,12.781364679336548,bigbrain_0_3020_4865.nii,116805
increment_data,12.781887769699097,20.332926988601685,bigbrain_0_3020_4865.nii,116805
save_incremented,20.333195447921753,23.11978507041931,bigbrain_0_3020_4865.nii,116805
load_img,12.77914547920227,12.782163143157959,bigbrain_0_3020_4865.nii,116809
increment_data,12.782869338989258,20.332611799240112,bigbrain_0_3020_4865.nii,116809
save_incremented,20.332873582839966,24.331992149353027,bigbrain_0_3020_4865.nii,116809
load_img,12.785564422607422,12.788386106491089,bigbrain_0_4228_6255.nii,116824
increment_data,12.789154052734375,19.849011182785034,bigbrain_0_4228_6255.nii,116824
save_incremented,19.849573612213135,45.54779577255249,bigbrain_0_4228_6255.nii,116824
load_img,12.797046899795532,12.80000925064087,bigbrain_0_2416_4865.nii,116819
increment_data,12.800852060317993,20.296224117279053,bigbrain_0_2416_4865.nii,116819
save_incremented,20.29694437980652,23.98018980026245,bigbrain_0_2416_4865.nii,116819
load_img,12.801838874816895,12.803512334823608,bigbrain_0_4228_6255.nii,116845
increment_data,12.804030179977417,19.849029541015625,bigbrain_0_4228_6255.nii,116845
save_incremented,19.84957242012024,45.3836510181427,bigbrain_0_4228_6255.nii,116845
load_img,12.805112838745117,12.807257890701294,bigbrain_0_3020_2780.nii,116813
increment_data,12.80786681175232,20.19540500640869,bigbrain_0_3020_2780.nii,116813
save_incremented,20.19696044921875,24.455803632736206,bigbrain_0_3020_2780.nii,116813
load_img,12.819171905517578,12.821640729904175,bigbrain_0_4228_6255.nii,116828
increment_data,12.8223135471344,19.845786333084106,bigbrain_0_4228_6255.nii,116828
save_incremented,19.84599781036377,46.108469009399414,bigbrain_0_4228_6255.nii,116828
load_img,12.83110237121582,12.833209037780762,bigbrain_0_3020_4865.nii,116832
increment_data,12.833778858184814,20.332557916641235,bigbrain_0_3020_4865.nii,116832
save_incremented,20.332809925079346,33.251956939697266,bigbrain_0_3020_4865.nii,116832
load_img,12.85117220878601,12.853545904159546,bigbrain_0_3020_2780.nii,116837
increment_data,12.854052543640137,20.196234226226807,bigbrain_0_3020_2780.nii,116837
save_incremented,20.19788932800293,24.7596914768219,bigbrain_0_3020_2780.nii,116837
