driver_program,0,9749.811122655869,/home/users/vhayots/spark-1570955656-isilon_1it_96cpus_0delay_npc-0,allfiles
load_img,5766.527125120163,5786.529483795166,bigbrain_4620_5436_1390.nii,112079
increment_data,5906.665403604507,5955.04950094223,bigbrain_4620_5436_1390.nii,112079
save_incremented,6262.549373865128,6387.592273235321,bigbrain_4620_5436_1390.nii,112079
load_img,88.48441767692566,116.26005911827087,bigbrain_0_1208_695.nii,112037
increment_data,212.73788142204285,250.57061219215393,bigbrain_0_1208_695.nii,112037
save_incremented,605.8144192695618,726.4054925441742,bigbrain_0_1208_695.nii,112037
load_img,6259.234912157059,6283.415530204773,bigbrain_770_3020_5560.nii,111983
increment_data,6676.148029088974,6710.290560245514,bigbrain_770_3020_5560.nii,111983
save_incremented,7059.143975496292,7100.64342212677,bigbrain_770_3020_5560.nii,111983
load_img,6416.210630655289,6464.0408754348755,bigbrain_5390_2416_5560.nii,112079
increment_data,6844.512752532959,6875.972905397415,bigbrain_5390_2416_5560.nii,112079
save_incremented,7127.254011392593,7564.2276492118835,bigbrain_5390_2416_5560.nii,112079
load_img,5765.054254293442,5786.52391910553,bigbrain_3080_2416_695.nii,112235
increment_data,5816.0455141067505,5953.310388088226,bigbrain_3080_2416_695.nii,112235
save_incremented,6261.3125076293945,6328.08433675766,bigbrain_3080_2416_695.nii,112235
load_img,7165.148150444031,7178.467132329941,bigbrain_1540_4832_2780.nii,111986
increment_data,7327.454479455948,7587.221071720123,bigbrain_1540_4832_2780.nii,111986
save_incremented,7660.08271074295,7832.403503417969,bigbrain_1540_4832_2780.nii,111986
load_img,4584.52757191658,4602.934382200241,bigbrain_1540_0_695.nii,112240
increment_data,5016.214378833771,5046.786275148392,bigbrain_1540_0_695.nii,112240
save_incremented,5249.596847295761,5715.431189775467,bigbrain_1540_0_695.nii,112240
load_img,5269.486732721329,5284.024396419525,bigbrain_2310_3020_695.nii,111971
increment_data,5325.412740468979,5715.44212436676,bigbrain_2310_3020_695.nii,111971
save_incremented,5770.550304174423,5916.971747159958,bigbrain_2310_3020_695.nii,111971
load_img,866.9218902587891,1022.5868992805481,bigbrain_2310_1812_4170.nii,112079
increment_data,1325.946367740631,1360.2333958148956,bigbrain_2310_1812_4170.nii,112079
save_incremented,1550.1742334365845,1782.2293636798859,bigbrain_2310_1812_4170.nii,112079
load_img,6421.857465028763,6463.73729634285,bigbrain_6160_1812_4865.nii,112206
increment_data,6834.088467121124,6866.326628446579,bigbrain_6160_1812_4865.nii,112206
save_incremented,7121.025242090225,7551.000751018524,bigbrain_6160_1812_4865.nii,112206
load_img,142.7345609664917,164.81853532791138,bigbrain_3080_5436_2780.nii,112286
increment_data,536.4409115314484,573.6405267715454,bigbrain_3080_5436_2780.nii,112286
save_incremented,620.5530204772949,1011.1505270004272,bigbrain_3080_5436_2780.nii,112286
load_img,8622.370331525803,8642.934049844742,bigbrain_2310_3624_4170.nii,112235
increment_data,8703.672526836395,8811.265721797943,bigbrain_2310_3624_4170.nii,112235
save_incremented,9011.143509626389,9120.071435451508,bigbrain_2310_3624_4170.nii,112235
load_img,2837.774824142456,2848.677342891693,bigbrain_1540_5436_695.nii,112108
increment_data,3260.913106918335,3295.5347952842712,bigbrain_1540_5436_695.nii,112108
save_incremented,3401.3009040355682,3741.8697125911713,bigbrain_1540_5436_695.nii,112108
load_img,5270.69114279747,5284.0261261463165,bigbrain_770_1208_695.nii,111979
increment_data,5406.626132488251,5715.442175388336,bigbrain_770_1208_695.nii,111979
save_incremented,5770.551499605179,5927.546111345291,bigbrain_770_1208_695.nii,111979
load_img,3560.6539413928986,3602.0754384994507,bigbrain_6160_3624_4865.nii,112049
increment_data,3994.23969745636,4033.8244338035583,bigbrain_6160_3624_4865.nii,112049
save_incremented,4291.05629658699,4487.027213573456,bigbrain_6160_3624_4865.nii,112049
load_img,9569.577992200851,9569.624719619751,bigbrain_3850_1812_4865.nii,112240
increment_data,9569.632523536682,9590.651403903961,bigbrain_3850_1812_4865.nii,112240
save_incremented,9591.452174425125,9614.542969465256,bigbrain_3850_1812_4865.nii,112240
load_img,946.2583999633789,1006.2859959602356,bigbrain_6160_1208_0.nii,112217
increment_data,1289.279970407486,1322.5873811244965,bigbrain_6160_1208_0.nii,112217
save_incremented,1548.2923789024353,1747.7860441207886,bigbrain_6160_1208_0.nii,112217
load_img,8624.910894870758,8642.944139957428,bigbrain_6160_4228_5560.nii,112088
increment_data,8819.159302711487,8859.926377534866,bigbrain_6160_4228_5560.nii,112088
save_incremented,9012.613980770111,9165.379619598389,bigbrain_6160_4228_5560.nii,112088
load_img,7660.073207378387,7674.193444728851,bigbrain_4620_3020_2085.nii,112276
increment_data,8052.549954652786,8092.127343893051,bigbrain_4620_3020_2085.nii,112276
save_incremented,8148.063956022263,8569.18263912201,bigbrain_4620_3020_2085.nii,112276
load_img,2477.6807310581207,2490.7296800613403,bigbrain_2310_0_1390.nii,111983
increment_data,2935.981555700302,2971.0155742168427,bigbrain_2310_0_1390.nii,111983
save_incremented,3334.2019276618958,3373.851298570633,bigbrain_2310_0_1390.nii,111983
load_img,5770.556621551514,5786.571378707886,bigbrain_3080_4228_2780.nii,112295
increment_data,6199.554975986481,6242.101481437683,bigbrain_3080_4228_2780.nii,112295
save_incremented,6270.9477343559265,6630.49148607254,bigbrain_3080_4228_2780.nii,112295
load_img,3415.2140820026398,3422.278898000717,bigbrain_3080_604_1390.nii,112011
increment_data,3900.640311717987,3933.007437467575,bigbrain_3080_604_1390.nii,112011
save_incremented,4265.210915088654,4340.901766777039,bigbrain_3080_604_1390.nii,112011
load_img,1240.772587776184,1263.1305704116821,bigbrain_6160_3020_2780.nii,111939
increment_data,1547.8819725513458,1568.120857477188,bigbrain_6160_3020_2780.nii,111939
save_incremented,1573.8469676971436,1979.5299410820007,bigbrain_6160_3020_2780.nii,111939
load_img,4670.664619684219,4676.030674695969,bigbrain_3080_5436_4865.nii,111927
increment_data,5129.395951032639,5165.676110744476,bigbrain_3080_5436_4865.nii,111927
save_incremented,5268.442976474762,5696.460285902023,bigbrain_3080_5436_4865.nii,111927
load_img,6506.151465415955,6510.614706039429,bigbrain_6160_1208_4170.nii,112254
increment_data,6936.901315689087,6971.829951286316,bigbrain_6160_1208_4170.nii,112254
save_incremented,7160.87591958046,7584.935356140137,bigbrain_6160_1208_4170.nii,112254
load_img,8627.737010002136,8642.97773385048,bigbrain_6930_2416_3475.nii,112120
increment_data,8988.128325223923,9015.155731201172,bigbrain_6930_2416_3475.nii,112120
save_incremented,9017.99727320671,9312.978589296341,bigbrain_6930_2416_3475.nii,112120
load_img,597.1581251621246,623.6653685569763,bigbrain_1540_0_5560.nii,111948
increment_data,1028.360892534256,1065.1820211410522,bigbrain_1540_0_5560.nii,111948
save_incremented,1313.403335571289,1334.6058003902435,bigbrain_1540_0_5560.nii,111948
load_img,3135.6622862815857,3162.426327228546,bigbrain_5390_4228_695.nii,111936
increment_data,3382.2804951667786,3405.6835417747498,bigbrain_5390_4228_695.nii,111936
save_incremented,3416.9789850711823,3829.3639245033264,bigbrain_5390_4228_695.nii,111936
load_img,5766.394868612289,5786.527214050293,bigbrain_1540_4832_695.nii,112225
increment_data,5884.40247130394,5954.514716863632,bigbrain_1540_4832_695.nii,112225
save_incremented,6262.107620000839,6379.031717538834,bigbrain_1540_4832_695.nii,112225
load_img,5955.458790779114,5971.385284662247,bigbrain_4620_1208_6255.nii,112083
increment_data,6270.945171356201,6284.720924377441,bigbrain_4620_1208_6255.nii,112083
save_incremented,6287.047023773193,6672.542223215103,bigbrain_4620_1208_6255.nii,112083
load_img,3584.041012763977,3592.1483550071716,bigbrain_3850_3624_4865.nii,112096
increment_data,3965.5194642543793,3997.050530195236,bigbrain_3850_3624_4865.nii,112096
save_incremented,4288.402809143066,4460.778542995453,bigbrain_3850_3624_4865.nii,112096
load_img,5769.06764960289,5786.545650959015,bigbrain_0_1208_5560.nii,112142
increment_data,6033.096777915955,6073.922481536865,bigbrain_0_1208_5560.nii,112142
save_incremented,6270.928913831711,6478.507074832916,bigbrain_0_1208_5560.nii,112142
load_img,131.08796453475952,151.79630732536316,bigbrain_0_604_4865.nii,112201
increment_data,451.6114206314087,488.86386489868164,bigbrain_0_604_4865.nii,112201
save_incremented,616.7762305736542,963.5727858543396,bigbrain_0_604_4865.nii,112201
load_img,3715.016735315323,3739.091328382492,bigbrain_3850_4832_5560.nii,112153
increment_data,4159.646383523941,4192.812438488007,bigbrain_3850_4832_5560.nii,112153
save_incremented,4333.099401473999,4644.653458595276,bigbrain_3850_4832_5560.nii,112153
load_img,6281.016316890717,6286.574898481369,bigbrain_6930_4832_4865.nii,112020
increment_data,6754.195982456207,6780.808831453323,bigbrain_6930_4832_4865.nii,112020
save_incremented,7102.725487470627,7168.710676431656,bigbrain_6930_4832_4865.nii,112020
load_img,612.5200991630554,633.7327117919922,bigbrain_5390_5436_3475.nii,112093
increment_data,1030.4789175987244,1065.7350490093231,bigbrain_5390_5436_3475.nii,112093
save_incremented,1328.7213699817657,1348.8695750236511,bigbrain_5390_5436_3475.nii,112093
load_img,1017.2787499427795,1042.4123394489288,bigbrain_6930_1208_695.nii,112300
increment_data,1355.01726603508,1392.4495840072632,bigbrain_6930_1208_695.nii,112300
save_incremented,1550.919324874878,1810.390541791916,bigbrain_6930_1208_695.nii,112300
load_img,3776.1005487442017,3782.5126218795776,bigbrain_6160_3624_1390.nii,112271
increment_data,4203.276116609573,4239.538091182709,bigbrain_6160_3624_1390.nii,112271
save_incremented,4334.569160699844,4665.918228149414,bigbrain_6160_3624_1390.nii,112271
load_img,1838.48890209198,1848.915298461914,bigbrain_6160_604_0.nii,112250
