driver_program,0,10545.577550172806,/home/users/vhayots/spark-1570495571-isilonAD_1it_96cpus_0delay_npc-1,allfiles
increment_data,1932.49693608284,1934.9501957893372,bigbrain_4620_4832_4865.nii,85429
save_incremented,1966.5633432865143,2348.2008106708527,bigbrain_4620_4832_4865.nii,85429
load_img,6938.580006361008,6941.213974475861,bigbrain_2310_604_0.nii,85402
increment_data,7048.3071410655975,7052.097465276718,bigbrain_2310_604_0.nii,85402
save_incremented,7054.388100147247,7180.336450576782,bigbrain_2310_604_0.nii,85402
load_img,4960.627715110779,4962.289899349213,bigbrain_3080_0_0.nii,85600
increment_data,5108.549348115921,5112.366245508194,bigbrain_3080_0_0.nii,85600
save_incremented,5209.784338951111,5304.182819843292,bigbrain_3080_0_0.nii,85600
load_img,3023.8903138637543,3024.5919346809387,bigbrain_6930_0_1390.nii,85672
increment_data,3160.2812807559967,3164.239191532135,bigbrain_6930_0_1390.nii,85672
save_incremented,3274.6953313350677,3430.4161121845245,bigbrain_6930_0_1390.nii,85672
load_img,2878.0536115169525,2878.4612686634064,bigbrain_2310_5436_4865.nii,85618
increment_data,3020.85968542099,3022.7047271728516,bigbrain_2310_5436_4865.nii,85618
save_incremented,3069.666519641876,3274.0838305950165,bigbrain_2310_5436_4865.nii,85618
load_img,547.0197386741638,549.0226497650146,bigbrain_3080_2416_5560.nii,85660
increment_data,597.5991399288177,606.3977286815643,bigbrain_3080_2416_5560.nii,85660
save_incremented,719.3590321540833,1148.1305937767029,bigbrain_3080_2416_5560.nii,85660
load_img,3800.4354157447815,3800.820191383362,bigbrain_770_4832_4865.nii,85537
increment_data,3870.1370265483856,3871.6793806552887,bigbrain_770_4832_4865.nii,85537
save_incremented,3930.3475153446198,4088.755695581436,bigbrain_770_4832_4865.nii,85537
load_img,4960.535803318024,4962.313044786453,bigbrain_0_2416_2780.nii,85465
increment_data,5139.515103340149,5141.26411819458,bigbrain_0_2416_2780.nii,85465
save_incremented,5218.643962860107,5413.100732088089,bigbrain_0_2416_2780.nii,85465
load_img,10060.164186000824,10062.08561015129,bigbrain_3080_1208_0.nii,85387
increment_data,10118.389162540436,10125.039051532745,bigbrain_3080_1208_0.nii,85387
save_incremented,10234.55901646614,10515.514379739761,bigbrain_3080_1208_0.nii,85387
load_img,6937.346526622772,6938.837244987488,bigbrain_3850_4228_695.nii,85438
increment_data,7026.659425973892,7030.3897960186005,bigbrain_3850_4228_695.nii,85438
save_incremented,7054.2095420360565,7178.062920331955,bigbrain_3850_4228_695.nii,85438
load_img,842.929628610611,843.3121545314789,bigbrain_6930_4228_6255.nii,85396
increment_data,877.9178643226624,880.1970026493073,bigbrain_6930_4228_6255.nii,85396
save_incremented,919.3578572273254,1279.6332247257233,bigbrain_6930_4228_6255.nii,85396
load_img,3023.7173080444336,3024.253934621811,bigbrain_6160_5436_2780.nii,85450
increment_data,3086.017582654953,3092.82297372818,bigbrain_6160_5436_2780.nii,85450
save_incremented,3272.24454164505,3393.0074541568756,bigbrain_6160_5436_2780.nii,85450
load_img,1775.2034928798676,1776.4477684497833,bigbrain_2310_2416_5560.nii,85402
increment_data,1932.5726647377014,1935.1043591499329,bigbrain_2310_2416_5560.nii,85402
save_incremented,2031.2297446727753,2438.464507341385,bigbrain_2310_2416_5560.nii,85402
load_img,3016.0519461631775,3016.444776535034,bigbrain_2310_0_1390.nii,85567
increment_data,3021.0263442993164,3022.6962180137634,bigbrain_2310_0_1390.nii,85567
save_incremented,3069.1392970085144,3251.492266178131,bigbrain_2310_0_1390.nii,85567
load_img,4886.0094537734985,4886.913448810577,bigbrain_2310_3624_4865.nii,85561
increment_data,4951.054131269455,4955.892775297165,bigbrain_2310_3624_4865.nii,85561
save_incremented,5007.189096212387,5118.532546043396,bigbrain_2310_3624_4865.nii,85561
load_img,7733.807155370712,7734.212416410446,bigbrain_2310_4228_2085.nii,85672
increment_data,8093.397778749466,8097.39702129364,bigbrain_2310_4228_2085.nii,85672
save_incremented,8105.772141456604,8190.038370609283,bigbrain_2310_4228_2085.nii,85672
load_img,8483.26573586464,8483.694493293762,bigbrain_0_5436_4170.nii,85402
increment_data,9010.70175242424,9013.075301885605,bigbrain_0_5436_4170.nii,85402
save_incremented,9052.247129678726,9070.587224006653,bigbrain_0_5436_4170.nii,85402
load_img,3872.9193415641785,3873.981142282486,bigbrain_0_1208_3475.nii,85522
increment_data,3952.3237438201904,3955.671249628067,bigbrain_0_1208_3475.nii,85522
save_incremented,4085.384128808975,4418.713083982468,bigbrain_0_1208_3475.nii,85522
load_img,3023.8689436912537,3024.4360144138336,bigbrain_770_3020_4865.nii,85600
increment_data,3090.472911834717,3102.8017597198486,bigbrain_770_3020_4865.nii,85600
save_incremented,3272.416639328003,3396.158185005188,bigbrain_770_3020_4865.nii,85600
load_img,2818.1628386974335,2818.5508139133453,bigbrain_770_1208_4865.nii,85636
increment_data,3020.6929244995117,3022.6208629608154,bigbrain_770_1208_4865.nii,85636
