driver_program,0,1030.5628218650818,/home/val/spark-1570899837-localAD_1it_96cpus_0delay_npc_em-0,allfiles
load_img,13.337550640106201,13.340116024017334,bigbrain_0_2416_2780.nii,152160
increment_data,13.340567111968994,20.86495041847229,bigbrain_0_2416_2780.nii,152160
save_incremented,20.86514925956726,23.809004068374634,bigbrain_0_2416_2780.nii,152160
load_img,13.351575136184692,13.353283166885376,bigbrain_0_3020_4865.nii,152172
increment_data,13.353777408599854,20.086077213287354,bigbrain_0_3020_4865.nii,152172
save_incremented,20.086264610290527,68.71085929870605,bigbrain_0_3020_4865.nii,152172
load_img,13.371582269668579,13.373571395874023,bigbrain_0_3020_4865.nii,152177
increment_data,13.37416386604309,20.24201512336731,bigbrain_0_3020_4865.nii,152177
save_incremented,20.24223041534424,24.241071939468384,bigbrain_0_3020_4865.nii,152177
load_img,13.38309383392334,13.385434627532959,bigbrain_0_3624_695.nii,152200
increment_data,13.386125087738037,19.449222803115845,bigbrain_0_3624_695.nii,152200
save_incremented,19.449415683746338,23.291231870651245,bigbrain_0_3624_695.nii,152200
load_img,13.39293384552002,13.394850969314575,bigbrain_0_2416_2780.nii,152192
increment_data,13.395433187484741,20.864954233169556,bigbrain_0_2416_2780.nii,152192
save_incremented,20.86515784263611,23.57229495048523,bigbrain_0_2416_2780.nii,152192
load_img,13.405219316482544,13.40770673751831,bigbrain_0_2416_2780.nii,152186
increment_data,13.40842604637146,20.86546540260315,bigbrain_0_2416_2780.nii,152186
save_incremented,20.865720510482788,24.288631200790405,bigbrain_0_2416_2780.nii,152186
load_img,13.420419931411743,13.421730756759644,bigbrain_0_3020_2780.nii,152213
increment_data,13.422160387039185,20.868597984313965,bigbrain_0_3020_2780.nii,152213
save_incremented,20.868869066238403,24.626786470413208,bigbrain_0_3020_2780.nii,152213
load_img,13.428298711776733,13.431268215179443,bigbrain_0_4228_6255.nii,152223
increment_data,13.432082176208496,20.549039602279663,bigbrain_0_4228_6255.nii,152223
save_incremented,20.549764156341553,24.70825695991516,bigbrain_0_4228_6255.nii,152223
load_img,13.449316024780273,13.451759576797485,bigbrain_0_3020_2780.nii,152209
increment_data,13.452475309371948,20.868691205978394,bigbrain_0_3020_2780.nii,152209
save_incremented,20.86888837814331,24.29909873008728,bigbrain_0_3020_2780.nii,152209
